LMS - INT03,"May 05, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40584
Liability Run Date:,"May 05, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.76"
Number of Licensees at or over Industry Threshold:,"423"
Number of Licensees below Industry Threshold:,"319"
Total Number of Licensees Evaluated:,"742"
Total Number of Licences/Approvals Evaluated:,"346,502"
Total Deemed Assets:,"$143,891,096,652.98"
Total Deemed Liabilities:,"$30,240,328,673.07"
Total Estimated Liabilities:,"$30,924,051,030.07"
Total LMR Security Held:,"$197,059,244.57"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"222","2,949","$107,966.97","$211,985,200.52","0.00"
0.01 - 0.49,"40","1,123","$22,511,873.52","$111,580,766.09","0.20"
0.50 - 0.99,"57","8,371","$555,474,919.90","$609,538,364.78","0.91"
1.00 - 1.49,"141","55,024","$4,899,995,824.79","$3,743,324,878.29","1.31"
1.50 - 1.99,"53","49,346","$6,959,359,914.37","$3,929,903,502.34","1.77"
2.00 - 2.99,"61","64,344","$12,545,586,169.75","$5,340,890,098.13","2.35"
3.00 - 3.99,"32","95,490","$24,575,249,478.37","$8,044,305,688.83","3.05"
4.00 - 4.99,"24","20,871","$10,594,721,974.64","$2,344,159,814.96","4.52"
5.00 - 5.99,"19","4,940","$2,457,527,539.98","$449,107,284.19","5.47"
6.00 - 6.99,"18","5,046","$3,860,907,212.14","$594,777,010.99","6.49"
7.00 - 7.99,"15","3,453","$4,732,001,511.59","$648,301,375.39","7.30"
8.00 - 8.99,"8","10,521","$9,400,798,859.46","$1,071,881,023.00","8.77"
9.00 - 9.99,"1","72","$35,636,165.51","$3,661,317.00","9.73"
10.00 or >  ,"51","24,952","$63,251,217,241.99","$3,136,912,348.56","20.16"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"ConocoPhillips Canada Resources Corp.  (A5G3)",,"20.57"
"Continental Energy Corporation  (A7LY)",,"3.06"
"Contour Energy Ltd.  (0GY1)",*,"1.00"
"Convega Energy Ltd.  (0E9R)",,"1.13"
"Cor4 Oil Corp.  (A6Y2)",,"1.53"
"Coral Exploration Corporation  (0NF4)",*,"0.80"
"Corex Resources Ltd.  (A2WH)",*,"1.39"
"Corinthian Oil Corp.  (A732)",*,"0.83"
"Corse Energy Corp.  (A6NW)",,"2.73"
"Cortona Energy Ltd.  (A79L)",,"1.68"
"Corval Energy Ltd.  (A6D1)",,"3.91"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.25"
"Creenergy Oil & Gas Inc.  (A7M9)",*,"1.00"
"Crescent Point Energy Corp.  (A2J6)",,"2.40"
"Crest Jinn Petroleum Corporation  (A7MZ)",,"1.00"
"Crestwynd Exploration Ltd.  (A7MT)",,"1.00"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.86"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.67"
"Croverro Energy Ltd.  (A5PT)",,"0.82"
"CSV Midstream Solutions Corp.  (A6WG)",,"0.00"
"Cuda Energy Inc.  (A75T)",,"12.98"
"Cycle Energy Ltd.  (0D64)",,"0.37"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.54"
"Dark Warrior Resources Ltd.  (A6AP)",*,"6.09"
"DCP Oil Corp.  (A7DB)",,"11.98"
"Deckland Inc.  (A64K)",,"0.00"
"Deep Well Oil & Gas (Alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"12.55"
"Deltastream Energy Corporation  (A6YA)",,"5.74"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.31"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Deventa Energy Inc.  (A6JT)",*,"0.89"
"Devon Canada Corporation  (0K29)",*,"11.03"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.53"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.16"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.68"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"5.44"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.20"
"Drakkar Energy Ltd.  (A2RJ)",,"5.38"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"3.11"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.13"
"Eco-Industrial Business Park Inc.  (A519)",,"1.53"
"Edalis Energy Inc.  (A5F0)",,"1.05"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.22"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"2.02"
"Emerald Lake Energy Ltd.  (A5YB)",,"11.57"
"Encana Corporation  (0026)",,"8.35"
"Ener T Corporation  (0HR9)",,"1.84"
"Enercapita Energy Ltd.  (A73W)",,"2.36"
"Energetic Logistics Services Inc.  (A73E)",*,"0.82"
"Energy Express Canada Corp.  (0LD3)",,"2.77"
"Enerplus Corporation  (A5RD)",,"3.13"
"Eng-Land Energy Ltd.  (0A1H)",*,"1.15"
"Enhance Energy Inc.  (A216)",,"1.17"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"2.38"
"Envolve Energy Services Corp.  (A6P8)",,"18.05"
"Essex Oil Corporation  (A74K)",,"3.23"
"Executive Adventures 2008 Inc.  (A6PA)",,"12.90"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.71"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.16"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.76"
"Far West Energy Corp.  (A6D0)",*,"0.36"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.72"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Fire Creek Resources Ltd.  (0TY4)",*,"1.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
"Firenze Energy Ltd.  (A1EZ)",,"2.00"
"Five O Oil & Gas Ltd.  (A598)",*,"0.27"
"Flow-Back Oil & Gas Ltd.  (0F9Y)",,"0.80"
"Forent Energy Ltd.  (0YE6)",,"0.98"
"Forge Oil & Gas Limited  (A76A)",,"4.97"
"Formula Powell Trucking 2006 Ltd.  (A73F)",*,"1.00"
"Fort Calgary Resources Ltd.  (A1JY)",,"1.20"
"Fortune Energy Inc.  (0DM6)",*,"1.28"
"Foxwood Resources Ltd.  (A7BC)",,"1.26"
"Frank O'Sullivan Petroleum Western Ltd.  (0EA3)",,"0.00"
"Free Rein Resources Ltd.  (0KA2)",*,"1.00"
"Freehold Royalties Ltd.  (A68A)",,"0.96"
"G. Herman Group Inc.  (A6DY)",,"0.96"
"Gain Energy Ltd.  (A7ME)",,"2.56"
"Gear Energy Ltd.  (A2JR)",,"2.04"
"Gentra One Resources Inc.  (0EG2)",*,"2.00"
"Geo. B. Ross Holdings Ltd.  (A05H)",*,"1.00"
"Georox Resources Inc.  (A5BH)",,"2.79"
"GEX Resources Ltd.  (0BE8)",*,"1.39"
"GFL Environmental Inc.  (A78P)",*,"1.00"
"Ghost River Resources Inc.  (A7L3)",,"2.36"
"Gibson Energy ULC  (0195)",*,"1.46"
"GL Petroleum Corporation  (A70K)",*,"1.00"
"Glen Isle Exploration Ltd.  (0AA1)",*,"1.00"
"Glenogle Energy Inc.  (A52E)",,"3.49"
"Golden Spike Energy Inc.  (A0M1)",,"0.95"
"Goldenkey Oil Inc.  (A2K7)",,"3.52"
"Grand Rapids Petroleum Ltd.  (0XJ5)",*,"0.78"
"Grandview Exploration Inc.  (A2CC)",,"5.14"
"Granite Oil Corp.  (A2PJ)",,"8.83"
"Graybeard Energy Ltd.  (A1W3)",*,"1.84"
"Greenview 16, M.D. Of  (A6CE)",*,"1.00"
"Grizzly Discoveries Inc.  (A4XF)",*,"1.00"
"Grizzly Oil Sands ULC  (A29X)",,"0.00"
"Grizzly Resources Ltd.  (A0TX)",,"7.44"
"Gryphon Petroleum Corp.  (A1BB)",,"3.60"
"Gulf Canada Limited  (0002)",,"1.00"
"Gunnarr Resources Inc.  (A5FY)",*,"2.02"
"Hadeed Resources Inc.  (A7G6)",,"1.39"
"Halliburton Partners Canada ULC  (A77Y)",*,"1.02"
"Halo Exploration Ltd.  (A6GH)",*,"0.83"
"Hammerhead Resources Inc.  (A5T7)",,"40.53"
"Hard Rock Resources Ltd.  (0ZK3)",,"1.30"
"Hardisty Caverns Ltd.  (A04H)",*,"1.12"
"Harlech Exploration Ltd.  (0AR5)",*,"1.00"
"Harvard International Resources Ltd.  (0AF4)",,"1.19"
"Harvest Operations Corp.  (0Z0H)",,"1.84"
"HBC Energy Ltd.  (A77B)",,"1.37"
"Hell's Half-Acre Petroleum Corporation  (A5ER)",,"3.13"
"Hemisphere Energy Corporation  (A5E4)",,"5.88"
"HESC Energy Corporation  (A6R6)",,"1.16"
"Hewitt Oil (Alberta) Ltd.  (0E30)",*,"1.00"
"High Ground Energy Inc.  (A76H)",,"3.97"
"Highvale Operating Corp.  (A69T)",,"0.40"
"Hillcrest Investments Ltd.  (0A0Z)",*,"0.52"
"Hillsdale Drilling Ltd.  (0KF1)",*,"1.19"
"Hitic Energy Ltd.  (A697)",,"11.35"
"Horseshoe Bay Resources Limited  (A1FR)",,"1.12"
"Houston Oil & Gas Ltd.  (A74H)",,"1.00"
"Hua Wei Oil & Gas Ltd.  (A5H8)",*,"1.00"
"Huntington Exploration Inc.  (A1HW)",*,"1.00"
"Huron Resources Corp.  (A6YG)",,"6.82"
"Husky Oil Operations Limited  (0R46)",,"4.73"
"Hutton Energy Ltd.  (A6H2)",*,"0.35"
"Iberdrola Canada Energy Services Ltd.  (0C6G)",,"6.83"
"Ikkuma Resources Corp.  (A5C4)",,"7.00"
"Imperial Oil Resources Limited  (0007)",,"8.95"
"Inception Exploration Ltd.  (A600)",,"4.77"
"Incipient Exploration Ltd.  (A6MB)",,"1.28"
"Indra Oil & Gas Ltd.  (0LJ4)",,"1.10"
"Innes Oilfield Services Ltd.  (A725)",*,"1.21"
"InPlay Oil Corp.  (A6JK)",,"2.17"
"Insch Commodity Ltd.  (A771)",,"0.21"
"Insignia Energy Ltd.  (A1FX)",,"3.72"
"Inter Pipeline Ltd.  (A6LA)",,"129.07"
"Inter Pipeline Propylene Ltd.  (A72F)",,"1.00"
"IPC Alberta Ltd.  (A7N1)",,"1.28"
"Iron Bridge Resources Inc.  (A1CL)",,"16.16"
"Ish Energy Ltd.  (0LN5)",,"1.05"
"Japan Canada Oil Sands Limited  (0NY5)",,"18.30"
"Jast Energy Ltd.  (A6LD)",,"1.57"
"Jaya Petroleum Ltd.  (0KR5)",*,"1.00"
"Jaycor Resources Inc.  (0HC4)",*,"2.28"
"Jayhawk Resources Ltd.  (A276)",,"3.04"
"JBS Food Canada ULC  (A6PZ)",,"1.00"
"John Lake Disposal Ltd.  (A2YA)",*,"1.00"
"Joli Fou Petroleums Ltd  (0AY2)",,"1.03"
"Jordan Energy Inc.  (A1WH)",*,"0.80"
"Joslyn Energy Development Incorporated  (A29C)",,"1.00"
"Journey Energy Inc.  (A2PH)",,"2.28"
"JRJ Energy Ltd.  (A5RH)",,"0.99"
"Jupiter Resources Inc.  (A6X1)",,"12.01"
"Just Freehold Energy Corp.  (A2N1)",,"1.17"
"K+S Windsor Salt Ltd./K+S Sel Windsor Ltee  (A6TK)",*,"1.03"
"Kaden Energy Ltd.  (A7JH)",*,"1.06"
"Kairos Resources (2011) Ltd.  (A5TJ)",*,"1.02"
"Kaisen Energy Corp.  (A7H0)",,"2.59"
"Kaiser Exploration Ltd.  (A1RN)",*,"1.01"
"Kam's Sand Coating Ltd.  (0LC7)",*,"3.66"
"Kanata Energy Group Ltd.  (A730)",,"1.96"
"Karve Energy Inc.  (A7BT)",,"1.52"
"Kasten Energy Inc.  (A5GJ)",,"1.24"
"Keek Inc.  (A1RM)",*,"1.41"
"Keles Production Company Ltd.  (0R36)",*,"1.00"
"Kelt Exploration Ltd.  (A6D7)",,"5.31"
"Kerr-Mcgee Of Canada Northwest Ltd.  (A1HX)",*,"1.64"
"Keyera Energy Ltd.  (A0C0)",,"4.28"
"Kicking Horse Oil & Gas Ltd.  (A7GG)",,"4.88"
"KinMerc Oil & Gas Inc.  (A2PZ)",,"1.34"
"Knol Resources Corp.  (A13Z)",*,"1.00"
"Knowledge Energy Inc.  (A2FG)",,"4.95"
"Koch Oil Sands Operating ULC  (A2N2)",*,"1.01"
"Komstar Resources Ltd.  (A7LZ)",*,"1.72"
"Kor Energy Inc.  (A0CB)",*,"0.27"
"Lance Exploration Corp.  (A78R)",,"1.26"
"Land Petroleum International Inc.  (0MM6)",*,"0.96"
"Laricina Energy Ltd.  (A1TY)",*,"1.00"
"Leddy Exploration Limited  (0359)",*,"1.00"
"Leucrotta Exploration Inc.  (A6XJ)",*,"1.00"
"Lexin Resources Ltd.  (0CW8)",,"0.00"
"LGX Oil + Gas Inc.  (A6D5)",*,"0.29"
"Little Rock Resources Ltd.  (A7C6)",,"1.42"
"Lochfayne Resources Ltd.  (0BM3)",*,"1.00"
"Logic Energy Ltd.  (A67B)",,"1.11"
"Long Lake Energy Ltd.  (A5MR)",,"0.61"
