BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate
0094,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31
0095,PETROGAS PROCESSING LTD,635 8 AVE SW SUITE 1500    CALGARY AB CA T2P 3Z1,780-422-1395,STRUCK,1995-10-01,,,
0096,RIGEL OIL & GAS LTD.,BOW VALLEY SQ 3 255 5 AVE SW SUITE 1900   CALGARY AB CA T2P 3G6,403-237-1739,AMALGAMATED,1999-10-01,0039,REPSOL OIL & GAS CANADA INC.,2002-10-31
0097,SARATOGA PROCESSING COMPANY LIMITED,PO BOX 460    COLEMAN AB CA T0K 0M0,780-422-1395,STRUCK,1999-03-13,,,
0098,BURLINGTON RESOURCES CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0BL1,CONOCOPHILLIPS CANADA (BRC) LTD.,2002-10-31
0099,ASAMERA INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1998-09-01,0AJ3,ARWAVES RESOURCES LTD,2002-10-31
009B,C.M.A. PETROLEUMS & MINERALS LTD,801 6 AVE SW FLOOR 6    CALGARY AB CA T2P 3W2,780-422-1395,NON REGISTERED,2002-10-01,,,
0100,MADISON OIL COMPANY,9400 N CENTRAL EXPY STE 1209    DALLAS TX US 752315044,780-422-1395,STRUCK,2003-05-02,,,
0101,CORONADO CONSULTANTS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1982-01-29,,,
0102,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0089,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,2002-10-31
0103,ENGINEERING SPECIIAL TIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1990-04-19,,,
0104,NATIONAL PETROLEUM CORPORATION LIMITED,1611 BEAR SPRINGS RD    PIPE CREEK TX US 780635354,780-422-1395,STRUCK,2002-06-02,,,
0105,TRIAD OIL MANITOBA LTD,888 3 ST SW SUITE 3400    CALGARY AB CA T2P 5C5,780-422-1395,ACTIVE,1995-01-01,,,
0106,ATCO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0P10,ATCO LTD,2002-10-31
0107,MID-WEST GAS TRANSMISSION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0618,MID-WEST GAS TRANSMISSION LTD,2002-10-31
0108,MALONEY-CRAWFORD MANUFACTURING CO. LTD,"GREGG, H 310 9 AVE SW   CALGARY AB CA T2P 1K4",780-422-1395,STRUCK,1980-06-14,,,
0109,RANCHMEN'S RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0R63,RANCHMEN'S RESOURCES LTD.,2002-10-31
0110,OFC HOLDINGS LTD,11104 107 AVE    EDMONTON AB CA T5H 0X8,780-422-1395,STRUCK,1988-09-01,,,
0111,HER MAJESTY THE QUEEN IN RIGHT OF CANADA AS REPRESENTED HEREIN BY THE MINISTER OF NATIONAL DEFENCE,BASE COMMANDER CANADIAN FORCES BASE SUFFIELD PO BOX 6000 STN MAIN  MEDICINE HAT AB CA T1A 8K8,403-544-4882,NON REGISTERED,1994-01-01,,,
0112,SUFFIELD GAS DISTRIBUTION SYSTEM,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,ACTIVE,2002-10-01,,,
0113,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31
0115,EDMONTON LIQUID GAS LIMITED,333 7 AVE SW    CALGARY AB CA T2P 2Z1,780-422-1395,STRUCK,1985-06-01,,,
0116,RAMPART RESOURCES LTD,DOME TOWER 333 7 AVE SW SUITE 1204   CALGARY AB CA T2P 2Z1,780-422-1395,STRUCK,1992-12-31,,,
0117,CONSOLIDATED BONNYVILLE LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0A35,CONSOLIDATED BONNYVILLE LIMITED,2002-10-31
0118,CRETACEOUS PIPELINES LTD,255 5 AVE SW SUITE 1800    CALGARY AB CA T2P 3G6,780-422-1395,STRUCK,2002-10-01,,,
0119,NORTHLAND UTILITIES LIMITED,10042 109 ST NW    EDMONTON AB CA T5J 1M1,780-422-1395,STRUCK,1985-07-01,,,
0120,MONTEREY PETROLEUM CORPORATION (1971) LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1981-04-30,,,
0121,REDWATER UTILITIES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1977-01-31,,,
0122,I.XL INDUSTRIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0649,I.XL INDUSTRIES LTD.,2002-10-31
0123,SOUTH ALBERTA PIPE LINES LTD,PO BOX 1948    CALGARY AB CA T2P 2M2,780-422-1395,STRUCK,1984-11-30,,,
0124,WAINWRIGHT GAS CO. LIMITED,TOWN HALL 1014 2 AVE   WAINWRIGHT AB CA T0B 4P0,780-422-1395,STRUCK,1977-08-31,,,
0125,"SOUTHEASTERN DRILLING, INC",9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0NP9,SOUTHEASTERN DRILLING INC,2002-10-31
0126,STURGEON PETROLEUMS LTD,"1620, 840 7 AVE SW    CALGARY AB CA T2P 3G2",780-422-1395,DISSOLUTION/DISSOLVED,1994-09-27,,,
0127,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31
0128,LAC LA BICHE COUNTY,PO BOX 1679    LAC LA BICHE AB CA T0A 2C0,780-623-4323,NON REGISTERED,1994-01-01,,,
0129,THE VALLEY GAS COMPANY LIMITED,ATT: ISABEL DAVIES 65-203 LYNNVIEW RD SE   CALGARY AB CA T2C 2C6,780-422-1395,DISSOLUTION/DISSOLVED,2007-01-12,,,
0130,MILK RIVER GAS COMPANY LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1985-03-01,,,
0131,"DEVON, TOWN OF",1 COLUMBIA AVE WEST    DEVON AB CA T9G 1A1,780-422-1395,NON REGISTERED,2002-10-01,,,
0132,"COUTTS, VILLAGE OF",PO BOX 236    COUTTS AB CA T0K 0N0,780-422-1395,NON REGISTERED,2002-10-01,,,
0133,NOVA GAS TRANSMISSION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0TB3,NOVA GAS TRANSMISSION LTD.,2002-10-31
0134,PEACE RIVER TRANSMISSION COMPANY LIMITED,OPERATIONS DEPARTMENT 1066 W HASTINGS ST PO BOX 12503  VANCOUVER BC CA V6E 3G3,780-422-1395,NON REGISTERED,2002-10-01,,,
0135,WESTCOAST TRANSMISSION COMPANY (ALBERTA) LTD.,"C/O BRUCE PYDEE 1050 WEST GEORGIA, SUITE 1100 PO BOX 11162  VANCOUVER BC CA V6E 3R5",403-699-1639,DISSOLUTION/DISSOLVED,2011-04-18,,,
0136,IMPERIAL OIL RESOURCES VENTURES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0JZ2,IMPERIAL OIL RESOURCES VENTURES LIMITED,2002-10-31
0137,STERLING ROYALTIES LIMITED,MONTREAL TRUST COMPANY OIL ROYALTIES DEPARTMENT 530 8 AVE SW SUITE 700  CALGARY AB CA T2P 3S8,780-422-1395,STRUCK,1981-11-30,,,
0139,CENTURY ROYALTIES LIMITED,C O MONTREAL TRUST COMPANY 530 8 AVE SW FLOOR7   CALGARY AB CA T2P 3S8,780-422-1395,STRUCK,1981-04-30,,,
0140,MADISON NATURAL GAS COMPANY LIMITED,C O PEMBINA RESOURCES LIMITED PO BOX 1948   CALGARY AB CA T2P 2M7,780-422-1395,STRUCK,1993-03-16,,,
0141,CELANESE CANADA ULC,50 MARIE-VICTORIN BLVD SUITE 100    BOUCHERVILLE QC CA J4B 1V5,450-655-0396 Ext 3215,ACTIVE,1994-01-01,,,
0142,MCCOLL-FRONTENAC PETROLEUM ULC,237 4 AVE SW PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,780-422-1395,AMALGAMATED,2017-01-01,0007,IMPERIAL OIL RESOURCES LIMITED,2017-04-30
0143,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31
0144,ATCO GAS AND PIPELINES LTD. (SOUTH),10035 105 ST    EDMONTON AB CA T5J 2V6,780-420-7335,ACTIVE,1984-12-01,,,
0145,GOODYEAR GAS WELL NO 5 130 LIMITED,PO BOX 250    MEDICINE HAT AB CA T1A 7E9,780-422-1395,DISSOLUTION/DISSOLVED,1999-12-15,,,
0146,ALBERTA CLAY PRODUCTS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1964-03-14,,,
0148,CB PAK INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,NON REGISTERED,1990-02-08,,,
0149,MAPLE LEAF MILLING CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,NON REGISTERED,2002-10-01,,,
0150,"MEDICINE HAT, CITY OF",GAS UTILITY 364 KIPLING ST SE   MEDICINE HAT AB CA T1A 1Y4,403-529-8248,NON REGISTERED,1984-12-01,,,
0151,MONARCH CABLESYSTEMS LTD,1001 KINGSWAY AVE SE    MEDICINE HAT AB CA T1A 2X7,780-422-1395,AMALGAMATED,2005-12-01,A1RW,ELECTRIC LIGHTWAVE COMMUNICATIONS INC.,2005-12-31
0152,OGILVIE MILLS LTD,BOX 160    MEDICINE HAT AB CA T1A 7E8,780-422-1395,STRUCK,1993-03-01,,,
0153,PERRY BRICK & TILE CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0722,PERRY BRICK & TILE CO LTD,2002-10-31
0154,I.XL INDUSTRIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0649,I.XL INDUSTRIES LTD.,2002-10-31
0155,CANADIAN-MONTANA GAS COMPANY LIMITED,311 6 AVE SW SUITE 1300    CALGARY AB CA T2P 3H2,780-422-1395,AMALGAMATED,2000-01-01,0AH9,7246366 CANADA LTD.,2002-10-31
0157,FEDERAL OILS SYNDICATE,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,NON REGISTERED,2002-10-01,,,
0158,TALISMAN ENERGY INC.,888 3 ST SW SUITE 2000    CALGARY AB CA T2P 5C5,780-422-1395,AMALGAMATED,1998-01-01,0039,REPSOL OIL & GAS CANADA INC.,2002-10-31
0159,BUCKLEY PATRICK T ,734 7 AVE SW    CALGARY AB CA T2P 2M7,780-422-1395,NON REGISTERED,2002-10-01,,,
015B,MILLAR WESTERN FOREST PRODUCTS LTD.,16640 111 AVE NW    EDMONTON AB CA T5M 2S5,780-486-8200,ACTIVE,2018-02-22,,,
0160,TILLEY GAS COMPANY LTD,PO BOX 910    BROOKS AB CA T0J 0J0,780-422-1395,STRUCK,2002-06-02,,,
0161,AMERICAN NORTHLAND OIL COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1971-11-30,,,
0162,KODIAK PETROLEUMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0163,KODIAK PETROLEUMS LTD,2002-10-31
0163,KODIAK PETROLEUMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1986-01-23,,,
0164,RIMBEY PIPE LINE CO LTD.,1660 102 AVE    EDMONTON AB CA T6P 1V7,780-422-1395,AMALGAMATED,2007-05-01,A2MD,KEYERA RPL HOLDINGS LTD.,2007-05-31
0165,MIC MAC OILS (1963) LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1975-04-30,,,
0166,TRANSALTA MINERALS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1981-03-14,,,
