"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"106","name removed","2007-03-06","Looking for data and graph on BC electricty imports","Called back and confirmed what she was looking for, then passed request on to Electrcity team -- NAME REMOVED. ","","",""
"107","name removed","2007-03-07","Alberta Clipper - farmers/landowners letter to media that day","worked with PWG esp NAME REMOVED on response lines that were approved on 9 March.  Request went dormant and reporter called back 15 March.","NAME REMOVED gave interview 15 March and felt on message","",""
"108","name removed","2007-03-12","Emera Brunswick ","Info. about projected date for release of RFD","","",""
"109","name removed","2007-03-12","Energy Futures - Stéphane Thivierge & David Michaud","Dicussion about poss. interview. Not going through w. interview.","","",""
"110","name removed","2007-03-12","wanted location of Imperial's economic update filing","sent it to him same day","","",""
"111","claudio cattaneo","2007-03-15","Mackenzie - wanted to find Imperial' s economic update filed Monday","NAME REMOVED sent Claudia a direct link from his Secretary Secretary email - same day","easy.  Done.  Confirmed.","",""
"112","argus media group","2007-03-19","needed the correct reference to the AECO C natural gas trading hub in Alberta (www.ngx.com)","got info from NAME REMOVED (Commodities) and followed up with client by email same day.","","",""
"113","name removed","2007-03-22","Interview about decision making process for Emera Brunswick Pipeline Application","","","",""
"114","name removed","2007-03-23","Interview about decision making process for Emera Brunswick Pipeline Application","","","",""
"115","argus media group","2007-03-26","specialized reporter, wanted update on the Cochin Tariff dispute (status check)","short talk 26 March with NAME REMOVED (PM), ret'd call to reporter, and then provided references to the file in Reg Docs, current status (""NEB will make info requests"") and reference to NEB 2002 Revised Guidelines for Negotiated Settlements of Traffic, Tolls and Tariffs (iv - contested settlements) by email","done","",""
"116","canadian press","2007-03-27","factchecking on statements and stats attributed to Beth Lau in a London Free Press article 13 March","talked to Beth and provided check for reporter with link to NEB energy pricing info on NEB web site, and also a reference to Stats Canada","rec'd thx note","",""
"117","organization","","Question","Information Provided","Interview / Date","type of media (print, tv, etc.)",""
"118","cbc radio yellowknife/nwt","2007-04-02","RE: Comments on MGP conditions that came in Friday 30 March","after sign offs of messages, answered reporter at 4:30 PM.","result was not great: ""An NEB spokesman couldn’t say what the board will do with the comments it received.""","",""
"119","cbc radio yellowknife/nwt","2007-04-05","1:50:00 PM re Ken Vollman resignation: effect on Mackenzie Gas Project NEB hearing, she said NRCan Ottawa had not returned her call yet","ACTION: referred to NRCan NAME REMOVED 613.992.5777; he called back to say followup would occur.  Noted that for NAME REMOVED by email soon after.","NRCan NAME REMOVED confirmed that NRCan media relations was in touch with Julie Green.  Confirmation rec'd 3:10 PM (Calgary time)","",""
"120","new energy finance","2007-04-10","MATL: he's wondering if there are any wind energy angles, what approvals if any are needed on USA side, and whether it can now be built (are there remaining approvals in Canada)","called C. Wilde at 1:55 PM; sent him a note that EUB application required for detailed route; also sent him matl.ca site which had further regulatory details including what is required in USA","","",""
"121","far north oil and gas magazine","2007-04-12","expected questions about Ken Vollman retirement and effect on MGP hearing process for NEB","referred to NRCan per the plan agreed 5 April after quick check with NAME REMOVED; also made final note back to NAME REMOVEDe and Chair indicating loop was closed because message reached them directly","no interview","",""
"122","globe and mail","2007-04-16","Enbridge spill same day story","referred to NAME REMOVED who handled file today; NAME REMOVED followed up easily.","","",""
"123","calgary herald","2007-04-17","Requested amount of nat gas used for oil sands projects","spoke with Beth Lau for info; provided link to Oil Sands EMA","","",""
"124","treherne times","2007-04-19","NEB mtg w landowners in Glenboro, MB","told him purpose of mtg, described the 2 Enbridge projects, gave some other NEB info","NAME REMOVED interview","",""
"125","baldur-glenboro gazette","2007-04-19","met with her in person in Glenboro and provided info about NEB info session there that night","see also followup on 25 April","","",""
"126","chqr 77 - calgary","2007-04-24","NEB participation in NARWHAL","reacting to NEB news release put out 24 April","Andrew gave interview based on agreed NEB key messages","",""
"127","baldur-glenboro gazette","2007-04-25","following up NEB info session in Glenboro - wanted to know how many attended","A - ""20 from different towns"" (same day, email)","","",""
"128","energy tv (program)","2007-04-30","NEB participation in NARWHAL - TV interview","reacting to NEB news release put out 24 April","rec'd further interest and questions framework late Friday 4 May.","",""
"129","outlook printer","2007-05-02","NEB application process, inspection process, integrity management programs","Responded to questions","2007-05-04","",""
"130","l'aquilon (yellowknife french weekly)","2007-05-08","followup on KV CAMPUT speech","wants to know if NEB staff are working on streamlining and ask more about it","2007-05-14","",""
"131","energy tv","2007-05-08","SPI report - report details, why number of incidents down","Responded to questions","2007-05-11","",""
"132","bloomberg","2007-05-09","Gas production & practical implications of Pay for Performance Programs","Provided link to Energy Overview Report and set up interview with Denis.","TBD","",""
"133","platt's","2007-05-09","Looking for release date of Deep Panuke Report","Advised that report has not yet been finalized","N/A","",""
"134","daily oil buletin","2007-05-09","Looking for release date of Deep Panuke Report","Advised that report has not yet been finalized","N/A","",""
"135","allnovascotia.com","2007-05-09","Looking for release date of Deep Panuke Report","Advised that report has not yet been finalized","N/A","",""
"136","ottawa citizen","2007-05-10","fact check","wanted to fact check on whether the NEB does ""studies on secuirty of supply"" after it was referred to in Parliament today by Gordon Laxer, and also in an NDP news release about the security of Canada's energy for itself.","spoke to J. McCarthy.  The NEB definitely does supply and demand studies (the statement Laxer used appears to be a slightly out of context info info answer.","",""
"137","mcgraw-hill / platts harriet king, 360 297-216815 may","","Energy Overview Report - explanation behind small MW increase in electricity generation","Decline in coal-fired power balanced by new hydro and wind generation (NAME REMOVED)","N/A","",""
"138","doigs digest","2007-05-15","May 11 SDL ""D-A-P"" process on website re: Devon Paktoa c-60","interest was in why have a declaration in a space that has not even been tested yet, according to the company itself","reviewed SDL process with Bharat Dhixit and then called back Doig - even if there had been testing, the NEB could not tell about it under CPRA section 101 (protects commercial information); after the D-A-P process, the NEB review of this application will be in camera until a Declaration is issued (INAC ultimately issues the license... but NEB does the review and issues the Declaration first)","",""
"139","the energy news.com","2007-05-16","reacting to a daily Oil Bulletin article, what he needed was reference to the Energy Overview and not the Annual Report","referred briefly to NAME REMOVED, then followed up by providing him an email link to Energy Overview news release and attached report.","","",""
"140","national post","2007-05-16","MGP - interest in Imperial's Project update (filed 15 May)","mainly they wanted to find it on Reg Docs","NAME REMOVED showed up in person, and NAME REMOVED showed him how to find it on RegDocs (inbox) and also got a copy for him from the batch at Print Shop","",""
"141","the energy news.com","2007-05-17","Annual Report and Oilsands: story on the apportionment / pipeline capacity challenge","offered to help out and try to provide a spokesperson but unable to make the logistics work in the short term (story is not a 'breaking' one)","","",""
"142","national post","2007-05-17","MGP - wanted a good map of the project to publish","(he must be a layout guy) RESLT: provided one page PDF extract of project overview map from 15 May Imperial Project Update","","",""
"143","rdi (reseau de l'information)","2007-05-18","wanted Roland George ""analyst"" to comment on National Post's big headline about federal government takeover of MGP","NAME REMOVED called back and said simply the NEB would not speculate on top of speculation","","",""
"144","the energy news.com","2007-05-18","wanted NEB on camera comment on National Post's big headline about federal government takeover of MGP","NAME REMOVED told NAME REMOVED that NEB would definitely not speculate on speculation and examines evidence that is before it.","","",""
"145","calgary herald","2007-05-22","Questions on Energy Overview Report; specifically reserves replacement","NEB is not concerned about reserves replacement","2007-05-22","",""
"146","canadian geographic","2007-05-24","(referred by NGPS) It is a fact check on the modern proposed MGP route versus the route that was proposed in the 70s.","referred to scanned 1970s Northern pipeline stuff from MGP index and found some old maps in Volume 2 of Reasons for Decision.  Sent email to the attention of reporter and asked to confirm whether it suited her fact check.","","",""
"147","dob","2007-05-29","Keystone - when will the new motion by the CEP be dealt with?","Panel is considering the motion and their options. Decision on exact timing is not known.","2007-05-29","",""
"148","energy tv (program)","2007-05-29","followup to their NARWHAL story (see 30 April) looking for stock footage of the operation in action","referred her to DND and provided email links to DND image resources as well as name of a good public affairs contact (Bonnie Golbeck)","2007-05-29","",""
"149","candian geographic","2007-05-30","followup to their MGP article (production) wanted detailed maps","NAME REMOVED (ExPro) helped them directly","2007-05-30","",""
"150","energynews.com","2007-06-01","Keystone - hearing basics","Hearing starts in Calgary and moves to Regina, facilities portion of the Keystone project; cameras welcome","2007-06-01","",""
"151","ctv calgary","2007-06-04","Keystone - can we bring in a camera","yes.  Let KH know of camera probably coming to hearing room in the AM","","",""
"152","erm energy news","2007-06-04","Questions on Keystone - decision on CEP motion and interesting issues the panel is considering","Motion ruling  comes out NAME REMOVEDorrow morning (listen online). All issues on list of issues are considered important. ","2007-06-04","",""
"153","cbc radio yellowknife/nwt","2007-06-06","status report on Ken Vollman retirement and MGP","referred to NRCan per the continuing protocol","","",""
"154","oilweek magazine","2007-06-06","interest in Ken Vollman retrospective interview","NAME REMOVED not at the Board now; would try to bring forward the request with no promise of outcome; consulted with NAME REMOVED","no interview","",""
"155","the energy news.com","2007-06-07","interest in Ken Vollman retrospective interview, possibly from the floor of the GO-Expo June 12-13-14","NAME REMOVED not at the Board now; would try to bring forward the request with no promise of outcome; consulted with NAME REMOVED","no interview","",""
"156","cbc radio edmonton","2007-06-08","MATL - status of application, what is the line used for)","Provided info from approved news release. Passed along links to reg docs section of web.","2007-06-08","",""
"157","los angeles times","2007-06-25","oil sands and Greenhouse gases","message while NAME REMOVED was out of office 22&25 June","2007-06-26","",""
"158","hstoday (usa magazine on homeland security)","2007-06-26","NARWHAL followup - interest in NEB role in security and protection of petroleum infrastructure in Canada","NAME REMOVED","2007-06-26","september publication and online later",""
"159","far north oil & gas magazine","2007-07-12","wanted to followup on Ken Vollman reappointment","referred to NRCan NAME REMOVED","","",""
"160","doigs digest","2007-07-13","fact check - COGOA : what year, what preceded it?","got copy of COGOA Act from Library and faxed relevant front sections to NAME REMOVED, who called to say thank you.","2007-07-13","",""
"161","canadian press - calgary","2007-07-19","exploration and drilling in Beaufort Delta: 1. where are weekly stats / info; 2. when was last drilling offshore [the 80s] [no, 2005 - Devon Paktoa]; 3. Who is responsible for leases (subsurface oil/gas rights) [INAC]; 4. what are the estimated reserves in Beaufort [found a chart in 2006 BC ultimate potential report]","referred to NAME REMOVED in ExPro and Nat Gas Team in Commodities; compiled information in an email to reporter","2007-07-19","",""
"162","platt's","2007-07-19","Requesting News Release for Deep Panuke Section 15 Report","No news release; explained process and clarified release date of RFD.","None.","",""
"163","construction-today.com [chicago]","2007-07-23","construction - what are big projects in Canada?","had a conversation with him about Alberta oil sands, about pipelines needed to ship that oil, recommended CAPP and CEPA, mentioned Brunswick was recently approved and may be into early construction phases, etc.","","",""
"164","burnaby kinder morgan dig rupture oil spill","2007-07-24","","","2007-07-24","",""
"165","doigs digest","2007-07-26","FACT check on 17 July Gros Cacouna RFD - what are the 2 export points referred to in RFD page 10 para 2.","facts were on p 13 of RFD - easy callback","2007-07-26","",""
"166","cp","2007-07-25","Emera Brunswick - EA process & cumulative effects of all projects planned for Saint John area","Reasons in RFD speak for themselves.","2007-07-25","",""
"167","telegraph journal","2007-07-27","Emera Brunswick - Judicial Review requested by Friends of Rockwood Park","See Media Report","2007-07-27","",""
"168","calgary sun","2007-07-27","Hydrocarbon Transportation Report - questions about apportionment; increased Cdn oil production and impending capacity crunch.","Used prepared FAQ to explain apportionment and reasons for capacity crunch; Referenced Energy Overview Report for oil production stats.","2007-07-27","",""
"169","reuters","2007-07-27","Hydrocarbon Transportation Report - questions about apportionment; increased Cdn oil production and impending capacity crunch. Confirmed apportionment will be periodic.","Used prepared FAQ to explain apportionment and reasons for capacity crunch; Referenced Energy Overview Report for oil production stats.","2007-07-27","",""
"170","www.snl.com/energy","2007-07-30","Emera Brunswick - Judicial Review requested by Friends of Rockwood Park","See Media Report","2007-07-30","",""
"171","daily oil buletin","2007-07-30","Hydrocarbon Transportation Report","No Interview; missed deadline","N/A","",""
"172","energy news.com","2007-07-30","Hydrocarbon Transportation Report","","2007-07-30","",""
"173","cbc radio french saskatchewan","2007-07-30","ACCE - recent request for review of decision and stay of decision by Standing Buffalo Dakota First Nation (rec'd at NEB on 20 July and 24 July and NEB letter initiated 26 July.  TOUGH QUESTION is about 'Duty to Consult'","30 July AC gave interview with French clips and REFUSED to dance around the whole question of adequacy to consult.  Stuck to saying that the NEB RFD laid out the NEB position in making its Decision.  Some further pressing from the reporter (resisted) re trying to interpret the SDBFN position and allegation: ""ask them"" and also re: Duty to Consult.  I said that I had not spoken about ""consultation"" in my entire end of the conversation and stuck firmly to the position of ","","",""
"174","financial post","2007-07-31","LNG Terminals in Canada","As per NAME REMOVED Trudel, advised of 3 peak shaving operational facilities in Canada: Vancouver, Sudbury & Montreal","2007-07-31","",""
"175","erm energy news","2007-08-01","Hydrocarbon Transportation Report","Used prepared FAQ to explain apportionment and reasons for capacity crunch; Referenced Energy Overview Report for oil production stats.","2007-08-01","",""
"176","cbc radio french saskatchewan","2007-08-07","Southern Lights - hearing : schedule, location (esp Regina on 20 August) interest in Standing Buffalo Dakota First Nation (follows on her interest in ACCE / Enbridge - see 30 July, above)","emailed her text from NEB Panel ruling letter 27 July which details how hearing will proceed","2007-08-07","",""
"177","argus media group","2007-08-07","oil sands - she wanted to review and attribute an Enbridge source (already attributed to NEB) about oil sands","gave her permission to reproduce with full attribution and emailed her reference to Oil Sands EMA page.","2007-08-07","",""
"178","cbc radio french - alberta","2007-08-07","calls came in to R. George and to C Dutil-Berry","NEB reaction and French guest to respond to EUB findings of more incidents in Alberta (see Calgary Herald 6 August)","2007-08-07","andrew did not call her back the next day and she did not call andrew or roland george, or claudine back the next day eitehr.",""
"179","fort mcmurray today","2007-08-08","interested in the CEP intervention in Alberta Clipper","confirmed the intervention was received, sent her reference to it, noted CEP also intervened in Keystone and in Southern Lights hearings, and referred to CEP web site where there is information about their interest","2007-08-08","",""
"180","fort mcmurray today","1900-01-09","asked status of Keystone hearing","confirmed that oral hearing had concluded but Decision has not yet been released","2007-08-09","",""
