"App_Type","Hear_Name","Hear_Number","App_Date_Received","Hear_Date_Order","Dec_Date","Cert_Issue_Date","Dur_Days","Env_Assess_Req","Third_Party_Partic","Hear_Days","NEB_Report_Pages","App_Outcome","Reg_Instrum","Reg_Instrum_Type","Conditions_Issued","LTO_Date","Notes","Hear_Corp","Proj_Type","App_Year_Received","Hear_Year_Order","Dec_Year","Cert_Issue_Year","LTO_Year","Dur_Interval","Hear_Interval","Level_Third_Party_Partic","NEB_Report_Length","Start_City","Start_Prov","End_City","End_Prov","postalCodes","zipCodes"
"Large Pipelines","Energy East Pipeline Ltd. -  Energy East-Eastern Mainline  (2016)","OH-002-2016",2014-10-30,NA,2017-10-05,NA,1071,"Yes",615,17,0,"Withdrawn",8,NA,NA,NA,"2 apps received) Consolidated EE application received May 2017.  In January 2017, the new Panel (replacing the recused Panel) voided all previous decisions, including those related to application completeness. Up until the applicant withdrew the application, the new Panel had not made its own completeness determinations.  The new Panel voided the recused Panel’s decisions on participation in January 2017. At the time the applications were withdrawn, the new Panel had not made new participation decisions. This represents the number of “former” participants at the withdrawal date (noting that some withdrew their ATPs in the interim). Looks like 217 Letters of Comment on record, 350 Intervenors, 2000 Applications to Participate","Energy","Oil",2014,NA,2017,NA,NA,"Very Long","5-20 Days","Very Large","1-50","Hardisty","AB","Saint John","NB",2467,2
"Large Pipelines","Enbridge Line 3 Replacement Program Application","OH-002-2015",2014-11-05,2015-05-04,2016-04-25,2016-12-01,537,"Yes",79,9,292,"Approved",3,"OC-063, XO-E101-004-2016, MO-008-2016",89,NA,"Report in 2 Volumes: Vol1: 18, Vol2: 274.   37 Conditions OC-063, 30 Conditions XO-E101-004-2016, 22 Conditions MO-008-2016","Enbridge","Oil",2014,2015,2016,2016,NA,"Very Long","5-20 Days","Med","200-500","Hardisty","AB","Superior","WI",308,2
"Large Pipelines","Nova Gas Transmission Ltd. 2017 System Expansion Project","GH-002-2015",2015-03-31,2015-05-29,2016-06-01,2016-11-04,428,"Yes",44,4,208,"Approved",4,"GC-126 , XG-N081-013-2016, XG-N081-14-2016, TG-006-2016",48,2017-02-09,"36 conditions GC-126 , 12 conditions XG-N081-013-2016, 0 conditions XG-N081-14-2016,  0 conditions TG-006-2016","Nova","Gas",2015,2015,2016,2016,2017,"Long","4 Days","Med","200-500",NA,"AB",NA,"AB",100,0
"Large Pipelines","Nova Gas Transmission Ltd. Towerbirch Expansion","GH-003-2015",2015-09-02,2015-12-22,2016-10-06,2017-03-16,400,"Yes",39,5,200,"Approved",2,"GC-127 , XG-N081-025-2016, TG-008-2016",37,2017-07-19,"24 conditions GC -127 , 12 Conditions XG-N081-025-2016, 1 condition TG-008-2016","Nova","Gas",2015,2015,2016,2017,2017,"Long","5-20 Days","Med","200-500","Tower Lake","BC","Dawson Creek","BC",138,0
"Large Pipelines","Nova Gas Transmission Ltd. Albersun Purchase","GHW-001-2016",2016-04-27,2016-11-21,2017-12-14,2018-03-09,596,"No",4,1,86,"Approved",1,"GC-128",16,NA,"The application was primarily under paragraph 74(1)(b) of the NEB Act to grant leave to purchase of an existing facility.  An application under section 74 of the NEB Act is not a designated project under the CEAA 2012 and therefore CEAA 2012 does not apply, despite part of the application requesting a certificate under section 52 of the NEB Act.","Nova","Gas",2016,2016,2017,2018,NA,"Very Long","1 Day","Small","50-150","Mildred Lake","BC","Mariana Lake","BC",10,0
"Power Lines Cert","ITC Lake Erie Connector LLC - s. 58 Application for the Lake Erie Connector Project Certificate","EH-001-2015",2015-05-22,2015-10-21,2017-01-19,2017-06-20,608,"No",11,0,170,"Approved",1,"EC-056",42,NA,"Doesn't appear to require Leave to Open, but does need to notify NEB 60 days after commencing operation. Nothing filed yet","ITC","Electrical",2015,2015,2017,2017,NA,"Very Long","None","Small","150-200","Nanticoke","ON","Erie","Ohio",86,0
"Power Lines Cert","Manitoba Hydro – Manitoba to Minnesota IPL","EH-001-2017",2016-12-16,2017-12-21,NA,NA,0,"Yes",28,10,0,"TBD",8,NA,0,NA,"NEB Recommended to GIC Project be designated by Order of GIC under s. 58.15 Oct 2017. 4 participants, 20 intervenors, 4 letters of comment","Manitoba Hydro","Electrical",2016,2017,NA,NA,NA,"Not Done","5-20 Days","Small","1-50","Winnipeg","MB","Winnipeg","MB",31,1
"Small Pipelines","Enbridge Line 9 Reversal Phase 1 Project","OH-005-2011",2011-08-08,2011-12-05,2012-07-27,NA,354,"No",163,2,80,"Approved",1,"XO-E101-010-2012",15,2013-06-19,"NEB initiated an environmental assessment under CEA Act 1992. Project not designated under CEA Act 2012, so EA was concluded only under NEB Act.","Enbridge","Oil",2011,2011,2012,NA,2013,"Long","2 Days","Large","50-150","Sarnia","ON","Cambridge","ON",134,809
"Small Pipelines","Enbridge Line 9 Reversal Phase 1 Project","OH-005-2011",2011-08-08,2011-12-05,2012-07-27,NA,354,"No",163,2,80,"Approved",1,"XO-E101-010-2012",15,2013-06-19,"NEB initiated an environmental assessment under CEA Act 1992. Project not designated under CEA Act 2012, so EA was concluded only under NEB Act.","Enbridge","Oil",2011,2011,2012,NA,2013,"Long","2 Days","Large","50-150","Sarnia","ON","Cambridge","ON",326,13
"Small Pipelines","Enbridge Line 9B Reversal Project","OH-002-2013",2012-11-29,2013-02-19,2014-03-06,NA,462,"No",171,7,158,"Approved",2,"XO-E101-003-2014, TO-002-2014",36,2014-05-22,"30 Conditions XO-E101-003-2014,  6 conditions TO-002-2014","Enbridge","Oil",2012,2013,2014,NA,2014,"Long","5-20 Days","Large","150-200","Cambridge","ON","Montreal","QC",7,1
"Small Pipelines","Enbridge Line 9B Reversal Project","OH-002-2013",2012-11-29,2013-02-19,2014-03-06,NA,462,"No",171,7,158,"Approved",2,"XO-E101-003-2014, TO-002-2014",36,2014-05-22,"30 Conditions XO-E101-003-2014,  6 conditions TO-002-2014","Enbridge","Oil",2012,2013,2014,NA,2014,"Long","5-20 Days","Large","150-200","Cambridge","ON","Montreal","QC",134,809
"Small Pipelines","Enbridge Line 9B Reversal Project","OH-002-2013",2012-11-29,2013-02-19,2014-03-06,NA,462,"No",171,7,158,"Approved",2,"XO-E101-003-2014, TO-002-2014",36,2014-05-22,"30 Conditions XO-E101-003-2014,  6 conditions TO-002-2014","Enbridge","Oil",2012,2013,2014,NA,2014,"Long","5-20 Days","Large","150-200","Cambridge","ON","Montreal","QC",326,13
"Small Pipelines","TransCanada s. 58 Application for the King's North Connection Pipeline Project","GHW-001-2014",2014-08-15,2014-11-13,2015-06-02,NA,291,"No",21,0,9,"Approved",1,"XG-T211-027-2015",14,2016-11-02,"Until June 2015, terms and conditions for the NEB Participant Funding Program allowed funding only for oral hearings. At the time, because this was a written hearing process, participant funding was not permitted. Letter Decision issued with  Reasons for Decision Report to follow","TransCanada","Gas",2014,2014,2015,NA,2016,"Med","None","Small","1-50","Vaughn","ON","Vaughn","ON",46,0
"Small Pipelines","TransCanada s. 58 Application for the King's North Connection Pipeline Project","GHW-001-2014",2014-08-15,2014-11-13,2015-07-30,NA,349,"No",21,0,79,"Approved",1,"XG-T211-027-2015",14,2016-11-02,NA,"TransCanada","Gas",2014,2014,2015,NA,2016,"Long","None","Small","50-150","Vaughn","ON","Vaughn","ON",46,0
"Small Pipelines","TCPL Vaughan Mainline Expansion","GH-001-2016",2015-11-10,2016-02-10,2016-08-04,NA,268,"No",23,3,13,"Approved",1,"XG-T211-020-2016)",19,2017-11-08,"Letter Decision issued with  Reasons for Decision Report to follow","TCPL","Gas",2015,2016,2016,NA,2017,"Med","3 Days","Small","1-50","Vaughn","ON","Vaughn","ON",57,0
"Small Pipelines","TCPL Vaughan Mainline Expansion","GH-001-2016",2015-11-10,2016-02-10,2016-09-01,NA,296,"No",23,3,113,"Approved",1,"XG-T211-020-2016)",19,2017-11-08,NA,"TCPL","Gas",2015,2016,2016,NA,2017,"Med","3 Days","Small","50-150","Vaughn","ON","Vaughn","ON",57,0
"Small Pipelines","Enbridge Line 10 Westover Segment Replacement Project Application","OH-001-2016",2015-12-04,2016-02-17,2017-01-26,NA,419,"No",15,3,165,"Approved",2,"XO-E101-001-2017, MO-001-2017",46,2018-03-08,"32 Conditions XO-E101-001-2017, 14 Conditions MO-001-2017","Enbridge","Oil",2015,2016,2017,NA,2018,"Long","3 Days","Small","150-200","Hamilton","ON","Hamilton","ON",88,5
"Small Pipelines","Westcoast Energy Inc. -  Wyndwood Pipeline Expansion","GH-001-2017",2016-10-21,2017-02-14,2016-08-10,NA,0,"No",15,3,22,"Approved",1,"XG-W102-014-2017",31,2018-04-26,"Letter Decision issued with  Reasons for Decision Report to follow","Westcoast","Gas",2016,2017,2016,NA,2018,"Not Done","3 Days","Small","1-50","Pine Valley","BC","Hasler Flat","BC",8,0
"Small Pipelines","Westcoast Energy Inc. -  Wyndwood Pipeline Expansion","GH-001-2017",2016-10-21,2017-02-14,2017-09-28,NA,342,"No",15,3,188,"Approved",1,"XG-W102-014-2017",31,2018-04-26,NA,"Westcoast","Gas",2016,2017,2017,NA,2018,"Long","3 Days","Small","150-200","Pine Valley","BC","Hasler Flat","BC",8,0
"Small Pipelines","TCPL Ontario Meter Stations (Iroquois, Ottawa, Richmond North )","GHW-001-2017",2017-02-17,2017-08-24,2017-11-24,NA,280,"No",4,0,38,"Approved",5,"XG-T211-026-2017, XG-T211-025-2017, XG-T211-024-2017, MO-053-2017, MO-054-2017",37,NA,NA,"TCPL","Gas",2017,2017,2017,NA,NA,"Med","None","Small","1-50","Iroquois","ON","Iroquois","ON",NA,NA
"Small Pipelines","Enbridge Line 21 HDD Replacement","MH-001-2017",2017-03-10,2017-05-18,2018-01-25,NA,321,"No",15,4,142,"Approved",1,"XO-E102-002-2018",19,NA,NA,"Enbridge","Misc",2017,2017,2018,NA,NA,"Long","4 Days","Small","50-150","Fort Simpson","NT","Fort Simpson","NT",7,5
"Small Pipelines","Nova Gas Transmission Ltd. Sundre Crossover","GH-002-2017",2017-03-24,2017-09-06,2017-12-28,NA,279,"No",15,1,2,"Approved",1,"XG-N081-030-2017",14,2018-02-06,NA,"Nova","Gas",2017,2017,2017,NA,2018,"Med","1 Day","Small","1-50","Sundre","AB","Sundre","AB",56,0
"Small Pipelines","Nova Gas Transmission Ltd. Sundre Crossover","GH-002-2017",2017-03-24,2017-09-06,2018-03-22,NA,363,"No",15,1,16,"Approved",1,"XG-N081-030-2017",14,2018-02-06,NA,"Nova","Gas",2017,2017,2018,NA,2018,"Long","1 Day","Small","1-50","Sundre","AB","Sundre","AB",56,0
"Small Pipelines","Westcoast Energy Inc. -  Spruce Ridge Program","GH-001-2018",2017-10-19,2018-04-26,NA,NA,0,"No",0,0,0,"TBD",8,NA,0,NA,NA,"Westcoast","Gas",2017,2018,NA,NA,NA,"Not Done","None","None","1-50","Taylor","AB","Taylor","AB",23,0
"Small Pipelines","Nova Gas Transmission Ltd. Northwest Mainline Loop (Boundary Lake North Section )","GHW-001-2018",2017-12-15,2018-05-08,2018-07-27,NA,224,"No",4,0,23,"Approved",1,"XG-N081-021-2018",15,NA,"4 intervenors (3 First Nations, 1 government department)","Nova","Gas",2017,2018,2018,NA,NA,"Med","None","Small","1-50","Manning","AB","Manning","AB",NA,NA
"Small Pipelines","Trans Mountain Pipeline ULC - Westridge Delivery Line Relocation","MH-048-2018",2017-12-21,2018-05-18,NA,NA,0,"No",0,0,0,"TBD",8,NA,0,NA,NA,"Trans Mountain","Misc",2017,2018,NA,NA,NA,"Not Done","None","None","1-50","Burnaby","BC","Burnaby","BC",85,1
"Small Pipelines","Nova Gas Transmission Ltd. West Path Delivery Project","GH-002-2018",2018-02-12,2018-06-28,NA,NA,0,"No",0,0,0,"TBD",8,NA,0,NA,NA,"Nova","Gas",2018,2018,NA,NA,NA,"Not Done","None","None","1-50","Sundre","AB","Coleman","AB",43,0
"Small Pipelines","Alliance Pipeline Ltd. - British Columbia Expansion","GHW-1-2007",2007-02-28,2007-04-13,2007-09-11,NA,195,"No",15,0,33,"Approved",1,"XG-A159-07-2007",6,NA,"Alliance exempted from Leave to Open.  Provided notice that operation was initiated on December 29, 2008 .","Alliance","Gas",2007,2007,2007,NA,NA,"Short","None","Small","1-50","Taylor","BC","Taylor","BC",8,0
"Large Pipelines","Westcoast Energy Inc - - South Peace Pipeline","GH-3-2008",2008-02-27,2008-03-12,2008-11-18,2009-01-21,265,"Yes",13,4,67,"Approved",1,"GC-112",11,2009-10-05,NA,"Westcoast","Gas",2008,2008,2008,2009,2009,"Med","4 Days","Small","50-150","Ft. St. John","BC","Upper Cutbank","BC",3,1
"Large Pipelines","Emera Brunswick Pipeline Company - Application for Alternative Technique to HDD for Crossing St John River","GH-4-2008",2008-02-12,2008-03-17,NA,NA,0,"N/A",20,0,0,"Withdrawn",8,"N/A",NA,NA,"8 intervenors, 1 government participant (Fisheries & Oceans), 11 Letters of comment","Emera","Gas",2008,2008,NA,NA,NA,"Not Done","None","Small","1-50","Saint John","NB","Saint John","NB",8,1
"Process Facilities","Westcoast Energy Inc - Application for the Fort Nelson North Processing Facility","GH-1-2010",2009-08-04,NA,2010-03-31,NA,239,"Yes",31,0,8,"Approved",1,"XG-W102-07-2010",22,2012-01-03,"23 letters of comment, 8 intervenors. Hearing Order issued January 21 2010, oral hearing cancelled 12 March 2010","Westcoast","Gas",2009,NA,2010,NA,2012,"Med","None","Med","1-50","Fort Nelson","BC","Fort Nelson","BC",28,0
"Large Pipelines","TransCanada Keystone XL","OH-1-2009",2009-02-27,2009-05-12,2010-03-11,2010-04-27,377,"Yes",28,11,156,"Approved",1,"OC-56",22,2013-05-27,NA,"TransCanada","Oil",2009,2009,2010,2010,2013,"Long","5-20 Days","Small","150-200","Hardisty","AB","Steele City","Nebraska",20,0
"Large Pipelines","Nova Gas Transmission Ltd. Groundbirch Pipeline Project","GH-1-2009",2009-04-30,2009-06-16,2010-03-04,2010-04-26,308,"Yes",27,3,117,"Approved",1,"GC-115",28,2010-11-30,"c Given that the Project would not require more than 75 km of new Right of Way
(RoW), as defined in the CEA Act Comprehensive Study List Regulations, the Project was
subject to a screening level of EA under the CEA Act.","Nova","Gas",2009,2009,2010,2010,2010,"Long","3 Days","Small","50-150","Bay Tree","AB","Dawson Creek","BC",3,0
"Large Pipelines","Dawn Gateway Pipeline General Partner Inc - Dawn Gateway Pipeline","GH-2-2009",2009-05-06,2009-11-06,2009-12-04,NA,212,"N/A",5,0,0,"Withdrawn",8,"N/A",NA,NA,"5 internvenors, 0 government…","Dawn","Gas",2009,2009,2009,NA,NA,"Med","None","Small","1-50","Dawn","ON","St. Clair","ON",21,0
"Large Pipelines","Westcoast Energy Inc - Dawson Gas Plant","GH-3-2010",2010-05-31,2010-08-03,2011-01-31,NA,245,"N/A",14,3,15,"Approved",2,"XG-W102-02-2011, MO-02-2011",28,2012-02-24,NA,"Westcoast","Gas",2010,2010,2011,NA,2012,"Med","3 Days","Small","1-50","Bessborough","BC","Bessborough","BC",5,0
"Large Pipelines","Nova Gas Transmission Ltd. Horn River Pipeline","GH-2-2010",2010-02-19,2010-04-26,2011-01-27,2011-02-22,342,"N/A",34,0,120,"Approved",2,"GC-117, XG-N081-01-2011, MO-01-2011",31,2012-04-11,"20 intervenors, 1 government participant, 3 Metis Settlement Request for Oral Statement, 10 Letters of COmment. 31 Conditions GC-108, XG-N081-01-2011","Nova","Gas",2010,2010,2011,2011,2012,"Long","None","Med","50-150","Fort Nelson","BC","Fort Nelson","BC",8,0
"Large Pipelines","Imperial et. al - Imperial Mackenzie Gas Pipeline","GH-1-2004",2004-10-15,2004-11-24,2010-12-16,2011-03-10,2253,"Yes",158,58,388,"Approved",6,"GC-116, MO-17-2010, MO-18-2010, DP-01-2010, DP-02-2010, DP-03-2010",184,NA,"RFD in 2 Volumes (78 p in Vol 1, 310 in Vol 2), RFD doesn’t distinguish between info sessions and indigenous engagement activities. 129 Intervenors, 8 Letters of comment, 21 Oral Stmts. Conditions: 74 - GC-116, 18 - MO-17-2010, 4 - MO-18-2010, 30 - DP-01-2010, 29 - DP-02-2010, 29 - DP-03-2010","Imperial","Gas",2004,2004,2010,2011,NA,"Very Long","20-100 Days","Large","200-500","Niglintgak","NT","Trout Lake","NT",5,0
"Small Pipelines","Provident - Beatton River Replacement","OH-2-2011",2010-09-23,2011-03-11,2011-07-07,NA,287,"Yes",22,2,59,"Approved",1,"XO-P115-04-2011",27,2011-11-29,"9 oral statements and 34 letters of comment (from 13 unique ppl/orgns)","Provident","Oil",2010,2011,2011,NA,2011,"Med","2 Days","Small","50-150","Taylor","BC","Boundary Lake","AB",65,0
"Large Pipelines","Enbridge Bakken Pipeline Expansion Project","OH-001-2011",2011-01-17,2011-03-16,2011-12-22,2012-03-08,339,"Yes",35,2,121,"Approved",4,"OC-058, XO-E256-007-2011, MO-25-2011, MO-26-2011",41,2013-01-18,"14 intervenors, 2 government, 2 oral statements and 17 letters of comment (from 15 unique ppl/orgns).  Given that the Bakken
Pipeline would not require more than 75 km of new RoW, as defined in the CEA Act
Comprehensive Study List Regulations, the Project was subject to a screening level of EA","Enbridge","Oil",2011,2011,2011,2012,2013,"Long","2 Days","Med","50-150","Steelman","SK","Cromer","MB",162,4
"Large Pipelines","Vantage Pipeline Canada Inc. - Vantage Pipeline Project","OH-003-2011",2011-02-07,2011-04-05,2012-01-19,2012-03-13,346,"Yes",26,3,142,"Approved",2,"OC-059, M0-019-2011",48,2013-12-20,"17 intervenors, 2 government and 7 letters of comment. Given that the Project would. 48 Conditions for OC- 59
require less than 75 km of new RoW, as defined in the CEA Act Comprehensive Study List
Regulations, the Project was subject to a screening level of EA under the CEA Act.","Vantage","Oil",2011,2011,2012,2012,2013,"Long","3 Days","Small","50-150","Empress","AB","Tioga","North Dakota",46,0
"Large Pipelines","Nova Gas Transmission Ltd. NW Mainline Expansion","GH-002-2011",2011-04-29,2011-06-10,2012-02-28,2012-05-23,305,"Yes",24,2,122,"Approved",2,"GC-119, XG-N081-003-2012",34,2013-03-28,NA,"Nova","Gas",2011,2011,2012,2012,2013,"Long","2 Days","Small","50-150","Sierra","BC","Chinchaga","AB",0,0
"Large Pipelines","Emera Brunswick Pipeline Company - Brunswick Pipeline Project","GH-1-2006",2006-05-23,2006-06-09,2007-04-11,2007-06-15,323,"Yes",278,11,298,"Approved",1,"GC-110",25,2008-12-23,"72 Intervenors, 3 government, 19 requests for oral stmt, 189 Letters of Comment (184 unique ppl/orgns). 11 hearing days (excluding weekends assumed)","Emera","Gas",2006,2006,2007,2007,2008,"Long","5-20 Days","Large","200-500","Saint John","NB","St. Stephen","NB",81,2
"Large Pipelines","Enbridge Line 4 Extension Project","OH-5-2007",2007-06-28,2007-07-31,2008-04-15,2008-06-19,292,"Yes",20,1,40,"Approved",2,"OH-55, X0-E101-05-2008",18,2009-03-11,"14 Intervenors, 6 letters of comment. 15 conditions on OH-55, 3 conditions on XO-E101-0502008","Enbridge","Oil",2007,2007,2008,2008,2009,"Med","1 Day","Small","1-50","Edmonton","AB","Hardisty","AB",7,1
"Large Pipelines","Enbridge Line 4 Extension Project","OH-5-2007",2007-06-28,2007-07-31,2008-04-15,2008-06-19,292,"Yes",20,1,40,"Approved",2,"OH-55, X0-E101-05-2008",18,2009-03-11,"14 Intervenors, 6 letters of comment. 15 conditions on OH-55, 3 conditions on XO-E101-0502008","Enbridge","Oil",2007,2007,2008,2008,2009,"Med","1 Day","Small","1-50","Edmonton","AB","Hardisty","AB",326,13
"Large Pipelines","Enbridge  Southern Lights GP Inc. - Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project","OH-3-2003",2007-03-09,2007-04-18,2008-02-19,2008-05-15,347,"Yes",28,6,170,"Approved",3,"OH-53, MO-03-2008,  XO-E101-03-2008,  XO-E101-02-2008",49,2009-02-19,"17 Intervenors, 11  Letters of Comment.  20 conditions on OH-53, 16 conditions on XO-E101-03-2008,  13 conditions on XO-E101-02-2008","Enbridge","Oil",2007,2007,2008,2008,2009,"Long","5-20 Days","Small","150-200","Edmonton","AB","Gretna","MB",13,0
"Large Pipelines","TransCanada Keystone GP Ltd. - TransCanada Keystone Pipeline Project","OH-1-2007",2006-12-12,2007-01-29,2007-09-20,2007-11-30,282,"Yes",39,9,116,"Approved",1,"OC-51",38,2009-10-29,"30 Intervenors, 3 government, 2 requests for oral stmt, 5 Letters of Comment (4 unique ppl/orgns)","TransCanada","Oil",2006,2007,2007,2007,2009,"Med","5-20 Days","Med","50-150","Hardisty","AB","Haskett","AB",1,1
"Large Pipelines","EnCana Deep Panuke Pipeline","GH-2-2006",2006-11-09,2006-11-15,2007-09-13,2007-10-05,308,"Yes",39,5,147,"Approved",1,"GC-111",26,2013-04-16,"24 Intervenors, 3 government, Canada-NS Offshore Petroleum Board, 2 requests for oral stmt, 9 Letters of Comment. the
CNSOPB and the NEB signed a further MOU  setting out the framework for a single coordinated public regulatory review process","EnCana","Gas",2006,2006,2007,2007,2013,"Long","5-20 Days","Med","50-150","Sable Island","NS","Goldboro","NS",6,1
"Large Pipelines","Enbridge Pipelines (Westspur) Inc. - Alida Cromer Capacity Expansion (ACCE) Project","OH-2-2007",2007-01-17,2007-02-02,2007-06-28,2008-03-19,162,"Yes",12,3,32,"Approved",1,"GC-50",13,2008-03-25,"10 Intervenors, 2 letters of comment. Since the Project requires less than 75 km
of new right-of-way, a screening level of environmental assessment under the CEA Act was
required.","Enbridge","Oil",2007,2007,2007,2008,2008,"Short","3 Days","Small","1-50","Alida","MB","Cromer","MB",3,7
