Incident Number;Incident Types;Reported Date;Nearest Populated Centre;Province;Company;Status;Latitude;Longitude;Approximate Volume Released (mﾳ);Substance;Release Type;Significant;Year;Occurrence Date and Time;Discovered Date and Time;Detailed what happened;What happened category;Detailed why it happened;Why it happened category;Duration of interruption of pipeline operations;Pipeline or Facility Type;Activity being performed at time of incident;How the incident was discovered;Closed Date;Pipeline or facility equipment involved;Rupture;Incident type;Released substance type;Released volume (m3);Pipe body release;Residual effects on the environment;Source of Explosion;Source of Fire;Activity at time of fatality;Number of fatalities;Type of Injury;Number of individuals injured;Workdays lost;Work restricted by injury;Conditions that resulted in the operation beyond  limits;Conditions that resulted in adverse effects on the environment;Number of people evacuated;Regulation;Pipeline Name;Pipeline outside diameter (NPS);Pipeline length (km);Substance carried;Facility Name;Facility Type;Facility latitude;Facility longitude;Country;Affects Company Property;Off Company Property;Affects Pipeline right-of-way;Affects off Pipeline right-of-way;Land Use;Population Density;Kilometre post;Emergency Level;Investigation Type;Was NEB Staff Deployed;Related NEB event number;Equipment or component involved;Design standard;Nominal pipe size;Material;Material grade;Schedule;Design wall thickness (mm);Custom design wall thickness (mm);Actual wall thickness (mm);Licensed maximum operating pressure (kPa);Restricted operating pressure (kPa);Actual operating pressure at time of failure (kPa);Designed depth of cover (m);Actual depth of cover (m);Year of manufacture;Year of installation;Year when put into service;Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4);Weld type ;Seam type;Seam joining method;Seam clock position;Coating location;Coating type;Coating condition;Application method;Year when the coating was applied;Insulation installed;Repair type;Repair date;Equipment or component has never been inspected;Most recent inspection date for the failed equipment or component;Type of most recent inspection;Most recent inspection part of the routine inspection program;No maintenance done on this equipment or component;Date of the most recent maintenance work for the failed equipment or component;Most recent maintenance Type;Most recent maintenance work part of the routine maintenance program
INC2008-030;Fatality;3/24/2008;Kerrobert;Saskatchewan;Enbridge Pipelines Inc.;Closed;51.92095;-109.17023;Not Applicable;Not Applicable;Not Applicable;Yes;2008;2008/03/24 09:50:00 AM Mountain;2008/03/24 09:50:00 AM Mountain;"Substandard Acts, Failing to use PPE properly;Substandard Acts, Improper position for task;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Inadequate warning system";External Interference, Incorrect Operation;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Inadequate Supervision;NULL;Transmission;Maintenance;Employee / Contractor (Onsite);12/15/2010;No;No;Fatality;NULL;NULL;NULL;No;NULL;NULL;Construction;1;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;Line 4;1219.00000000, 914.00000000, 864.00000000;1248.909872;Crude Oil;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);NULL;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2008-034;Release of Substance;4/1/2008;Haileybury;Ontario;TransCanada PipeLines Limited;Closed;47.44678;-79.76267;Not Provided;Natural Gas - Sweet;Gas;No;2008;NULL;2008/03/31 01:17:00 AM Mountain;Damage or deterioration mechanism, Cracking, Fatigue;Corrosion and Cracking;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Engineering and Planning;NULL;Transmission;Construction;NULL;7/23/2012;No;No;Release of Substance;Natural Gas - Sweet;0;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;LINE 100-1;863.60000000, 762.00000000, 508.00000000;2595.724534;Natural Gas;NULL;NULL;NULL;NULL;Canada;No;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);NULL;Level I;Standard Review;No;NULL;Station/Facility, Compression, Fitting, Other (please explain);NULL;NPS 1;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;9/21/2008;No;NULL;NULL;No;No;9/21/2008;Replacement;No
INC2008-037;Release of Substance;4/18/2008;Kenora;Ontario;TransCanada PipeLines Limited;Closed;49.80823;-94.18954;Not Provided;Natural Gas - Sweet;Gas;No;2008;2008/04/16 02:30:00 PM Eastern;2008/04/16 02:30:00 PM Eastern;Damage or deterioration mechanism, Construction, Defective Pipe or Component Body;Defect and Deterioration;"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional";Human Factors, Tools and Equipment;NULL;NULL;Maintenance;Employee / Contractor (Onsite);7/27/2012;Yes;No;Release of Substance;Natural Gas - Sweet;0;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Mainline Valve + Offset (km) 50-2;Level I;Standard Review;No;NULL;Pipeline, Fitting, Nipple, Thread;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;NULL;No;NULL;NULL;No;No;NULL;Replacement;No
INC2008-039;Release of Substance;4/21/2008;Regina;Saskatchewan;Plains Marketing Canada, L.P.;Closed;50.48057;-104.56646;4;Crude Oil - Sweet;Liquid;No;2008;2008/04/21 07:00:00 AM Mountain;2008/04/21 07:00:00 AM Mountain;Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Equipment Failure;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution;Maintenance;NULL;NULL;Operation;Employee / Contractor (Onsite);7/23/2012;Yes;No;Release of Substance;Crude Oil - Sweet;4;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Legal Subdivision NW-33-17-19 W2;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2008-040;Release of Substance;4/25/2008;Charlie Lake;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;56.27973;-120.96341;Not Provided;Natural Gas - Sour;Gas;No;2008;2008/04/24 07:00:00 PM Pacific;2008/04/24 07:00:00 PM Pacific;Damage or deterioration mechanism, Construction, Defective Other Joint;Defect and Deterioration;"Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate communications, Inadequate communication methods ";Failure in communication, Human Factors;NULL;NULL;Operation;Employee / Contractor (Onsite);1/19/2011;Yes;No;Release of Substance;Natural Gas - Sour;0;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Kilometer Post 24.5;Level I;Standard Review;No;NULL;Pipeline, Fitting, Nipple, Body;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;4/24/2008;No;NULL;NULL;No;No;4/24/2008;Replacement;No
INC2008-041;Release of Substance;4/25/2008;Chetwynd;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;55.33867;-121.87115;Not Provided;Natural Gas - Sour;Gas;No;2008;2008/04/15 12:00:00 PM Pacific;2008/04/15 12:00:00 PM Pacific;Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Equipment Failure;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution;Maintenance;NULL;NULL;Maintenance;Employee / Contractor (Onsite);8/15/2012;Yes;No;Release of Substance;Natural Gas - Sour;0;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;No;No;Yes;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Kilometer Post 12;Level I;Standard Review;No;NULL;Pipeline, Valve, Ball, Other (please explain);NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;NULL;No;NULL;NULL;No;No;NULL;Replacement;No
INC2008-043;Fire;5/1/2008;Cromer;Manitoba;Enbridge Pipelines Inc.;Closed;49.73115;-101.2355;Not Applicable;Not Applicable;Not Applicable;No;2008;2008/05/01 02:00:00 PM Mountain;2008/05/01 02:00:00 PM Mountain;Substandard Conditions, Fire and explosion hazards;External Interference;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Maintenance;NULL;NULL;Maintenance;Employee / Contractor (Onsite);7/23/2012;No;No;Fire;NULL;NULL;NULL;No;NULL;Equipment & Electrical;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;EPI - Cromer Terminal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Mile Post 595.8;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2008-045;Release of Substance;5/6/2008;Herschel;Saskatchewan;Enbridge Pipelines Inc.;Closed;51.63826;-108.3544;9.4;Crude Oil - Sweet;Liquid;No;2008;2008/05/06 11:45:00 AM Mountain;2008/05/06 11:45:00 AM Mountain;Damage or deterioration mechanism, Construction, Defective Pipe or Component Body;Defect and Deterioration;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules;Standards and Procedures;NULL;NULL;Operation;Employee / Contractor (Onsite);7/23/2012;Yes;No;Release of Substance;Crude Oil - Sweet;9.4;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;EPI - Herschel Pump Station;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Mile Post 257;Level I;Standard Review;No;NULL;Station/Facility, Pumping, Piping;NULL;NPS 3/4;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;NULL;No;NULL;NULL;No;No;NULL;Replacement;No
INC2008-048;Release of Substance;5/12/2008;Regina;Saskatchewan;Enbridge Pipelines Inc.;Closed;50.48386;-104.61447;7;Crude Oil - Sweet;Liquid;No;2008;2008/05/11 11:30:00 PM Mountain;2008/05/11 11:30:00 PM Mountain;Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Equipment Failure;"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs";Engineering and Planning, Maintenance;NULL;NULL;Operation;Employee / Contractor (Onsite);8/10/2011;Yes;No;Release of Substance;Crude Oil - Sweet;7;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;EPI - Regina Terminal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);NULL;Level I;Standard Review;No;NULL;Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain);NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;5/12/2008;No;NULL;NULL;No;No;5/12/2008;Replacement;No
INC2008-052;Fire;5/21/2008;Emerson;Manitoba;TransCanada PipeLines Limited;Closed;49.00106;-97.05547;Not Applicable;Not Applicable;Not Applicable;No;2008;2008/05/18 01:35:00 PM Mountain;2008/05/18 01:35:00 PM Mountain;Damage or deterioration mechanism, Other Causes, Control System Malfunction;Equipment Failure;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Maintenance;NULL;NULL;Operation;Employee / Contractor (Onsite);3/27/2009;Yes;No;Fire;NULL;NULL;NULL;No;NULL;Under Investigation or Unknown;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Unknown Land Use (Historical Data Migration);Unknown Population Density (Historical Data Migration);Mainline Valve + Offset (km);Level I;Standard Review;No;NULL;Station/Facility, Compression, Auxiliary power unit;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;Replacement;NULL;No;NULL;NULL;No;No;NULL;Replacement;No
