Licence_Number,NEB_Pipeline_Indicator,Segment_Line_Number,Licence_Line_Number,Pipeline_Licence_Segment_Id,Company_Name,BA_Code,Pipeline_Specification_Id,Segment_Length,Segment_Status,Segment_From_Facility,From_Location,Segment_To_Facility,To_Location,H2S_Release_Volume,H2S_Release_Level,H2S_Content,Pipe_Technical_Standard,Pipe_Outside_Diameter,Pipe_Type,Pipe_Wall_Thickness,Pipe_Grade,Pipe_Material,Pipe_Max_Operating_Pressure,Pipe_Stress_Level,Pipe_Joint_Method,Pipe_Internal_Protection,Field_Centre,Bidirectional_Pipeline_Ind,HDD_Bored_Ind,Liner_Grade,Liner_Type,Pipeline_External_Protection,Pipeline_Environment,Pipeline_Class_Location,Substance 1,Substance 2,Substance 3,Original_Licence_Number,Original_Pipe_Specification_Id,Original_Segment_Line_Number,Licence_Approval_Date,Original_Licence_Issue_Date,Permit_Approval_Date,Permit_Expiry_Date,Last_Occurrence_Year,Above_Ground_Pipeline
10173,N,11,10173-11,332118,Repsol Oil & Gas Canada Inc.,0039,2,0.4,Removed,Blind End,15-31-052-17W5,Blind End,10-31-052-17W5,,,0,Z662,60.3,6063,2.16,T1A,Aluminum,0,0,High-Energy Welded,Uncoated,Drayton Valley,,,,,,,,Fuel Gas,,,,,,,,2015-08-28 16:18:00,2010-05-04 00:00:00,2010,
12133,N,15,12133-15,57158,SanLing Energy Ltd.,A7AZ,1,0.02,Operating,Well,10-23-104-02W6,Pipeline,10-23-104-02W6,,,0,Z662,60.3,5LX,3.91,X42,Steel,2410,6,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,12133,,15,1978-04-19 00:00:00,1977-12-14 00:00:00,1977-12-14 00:00:00,1978-12-14 00:00:00,1978,
12841,N,2,12841-2,60504,ATCO Gas And Pipelines Ltd.,0144,3,0.03,Operating,Pipeline,04-14-048-27W4,Regulator Station,04-14-048-27W4,,,0,Z662,60.3,Z245.3,3.91,2901,Steel,6210,17,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,12841,,2,2003-01-09 00:00:00,,,,1979,
13027,N,4,13027-4,61067,Alphabow Energy Ltd.,A7H2,3,0.03,Operating,Well,06-01-031-14W4,Gas Processing Plant,06-01-031-14W4,,,0,Z662,88.9,A53,5.49,B,Steel,8270,28,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,13027,,4,1990-04-11 00:00:00,,,,1990,
10431,N,36,10431-36,47126,Canadian Natural Resources Limited,0HE9,2,0.01,Abandoned,Blind End,04-03-087-08W5,Blind End,04-03-087-08W5,,,0,Z662,88.9,5LX,3.18,X42,Steel,0,0,Welded,Uncoated,Slave Lake,,,,,,Creek Crossing,,Oil-Well Effluent,,,10431,,36,,1997-12-22 00:00:00,1997-12-22 00:00:00,1998-06-22 00:00:00,1984,
109,N,2,109-2,321223,Bonterra Energy Corp.,0XZ4,1,0.14,Removed,Blind End,02-23-047-08W5,Blind End,02-23-047-08W5,,,0,Z662,60.3,A120,3.91,UUUU,Steel,12410,0,Welded,Yes,Drayton Valley,,,,,,,,Fresh Water,,,109,,1,1996-08-01 00:00:00,,2013-08-02 13:00:00,,1910,
12133,N,45,12133-45,57176,SanLing Energy Ltd.,A7AZ,9,0.01,Operating,Well,10-28-104-02W6,Pipeline,10-28-104-02W6,,,0,Z662,88.9,Z245.1,3.2,2901,Steel,2410,12,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,12133,,45,1993-07-05 00:00:00,1993-01-07 00:00:00,1993-01-07 00:00:00,1994-01-07 00:00:00,1992,
13894,N,6,13894-6,64363,Canadian Natural Resources Limited,0HE9,2,0.02,Operating,Well,06-26-066-02W5,Pipeline,06-26-066-02W5,,,0,Z662,88.9,A53,7.62,B,Steel,4960,12,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,13894,,6,1996-06-26 00:00:00,,,,1978,
13894,N,7,13894-7,64364,Canadian Natural Resources Limited,0HE9,2,0.02,Operating,Pipeline,07-34-066-02W5,Pipeline,07-34-066-02W5,,,0,Z662,88.9,A53,7.62,B,Steel,4960,12,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,13894,,7,1996-06-26 00:00:00,,,,1978,
13894,N,13,13894-13,64366,Canadian Natural Resources Limited,0HE9,2,0.02,Operating,Well,10-29-066-02W5,Pipeline,10-29-066-02W5,,,0,Z662,88.9,A53,7.62,B,Steel,4960,12,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,13894,,13,1996-06-26 00:00:00,,,,1978,
12402,N,31,12402-31,58341,Sitka Exploration Ltd.,A63R,15,0.01,Operating,Pipeline,11-04-034-05W5,Well,11-04-034-05W5,,,0,Z662,88.9,Z245.1,5.6,2902,Steel,20680,57,Zap-Lok,Thin Film,Red Deer,,,,,,,,Salt Water,,,12402,,31,1995-09-29 00:00:00,1995-03-29 00:00:00,1995-03-29 00:00:00,1995-09-29 00:00:00,1995,
14931,N,2,14931-2,69862,ConocoPhillips Canada Operations ULC,0XL9,3,0.02,Operating,Pipeline,11-20-048-16W4,Pipeline,11-20-048-16W4,,,0,Z662,114.3,5LX,6.02,X42,Steel,4960,16,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,14931,,2,1986-01-28 00:00:00,,,,1978,
13031,N,1,13031-1,61070,ATCO Gas And Pipelines Ltd.,0144,1,0.02,Operating,Pipeline,09-36-049-28W4,Regulator Station,09-36-049-28W4,,,0,Z662,42.2,Z245.3,3.56,1721,Steel,6140,21,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,13031,,1,1978-10-30 00:00:00,,,,1978,
15444,N,16,15444-16,322051,Enerplus Corporation,A5RD,2,0.01,Removed,Blind End,08-28-017-12W4,Blind End,08-28-017-12W4,,,4.8,Z662,88.9,5LX,3.18,X42,Steel,0,0,Welded,Uncoated,Unknown,,,,,,,,Oil-Well Effluent,,,15444,,4,1978-11-21 00:00:00,,2013-09-30 14:22:00,,1967,
15444,N,4,15444-4,72264,Enerplus Corporation,A5RD,2,0.48,Removed,Blind End,10-28-017-12W4,Blind End,08-28-017-12W4,,,4.8,Z662,88.9,5LX,3.18,X42,Steel,0,0,Welded,Uncoated,Unknown,,,,,,,,Oil-Well Effluent,,,15444,,4,1978-11-21 00:00:00,,2013-09-30 14:22:00,,1967,
13409,N,13,13409-13,62357,NAL Resources Limited,0TM9,10,0.02,Operating,Pipeline,12-36-037-04W5,Pipeline,12-36-037-04W5,,,0,Z662,114.3,A106,8.56,B,Steel,8270,23,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,13409,,13,1978-06-07 00:00:00,,,,1978,
13409,N,21,13409-21,62362,NAL Resources Limited,0TM9,6,0.01,Operating,Pipeline,10-28-037-04W5,Pipeline,10-28-037-04W5,,,0,Z662,88.9,A106,7.62,B,Steel,8270,20,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,13409,,21,1980-02-19 00:00:00,,,,1980,
13409,N,25,13409-25,62363,NAL Resources Limited,0TM9,8,0.02,Operating,Pipeline,12-36-037-04W5,Pipeline,12-36-037-04W5,,,0,Z662,114.3,Z245.3,3.18,42,Steel,8270,51,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,13409,,25,1980-04-09 00:00:00,,,,1980,
13409,N,26,13409-26,62364,NAL Resources Limited,0TM9,5,0.01,Operating,Pipeline,10-28-037-04W5,Pipeline,10-28-037-04W5,,,0,Z662,88.9,A106,5.49,B,Steel,8270,28,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,13409,,26,1981-01-08 00:00:00,,,,1981,
13616,N,2,13616-2,63120,Sequoia Resources Corp.,0Z5F,2,0.03,Operating,Well,11-10-047-12W4,Battery,11-10-047-12W4,,,0,Z662,114.3,5LX,2.77,X42,Steel,4960,35,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,13616,,2,1978-09-19 00:00:00,,,,1978,
13660,N,14,13660-14,63298,ACCEL Energy Canada Limited,A7GH,14,0.01,Removed,Blind End,08-11-064-11W5,Blind End,08-11-064-11W5,,,0,Z662,88.9,A106,5.49,B,Steel,0,0,Welded,Yes,Edmonton,,,,,,,,Oil-Well Effluent,,,13660,,14,1984-09-19 00:00:00,,2017-05-05 15:55:00,,1984,
16286,N,12,16286-12,77312,Obsidian Energy Ltd.,0BP8,1,0.03,Discontinued,Blind End,10-21-047-08W5,Blind End,10-21-047-08W5,,,0,Z662,88.9,5L,5.49,B,Steel,0,0,Welded,Uncoated,Drayton Valley,,,,,,Creek Crossing,,Oil-Well Effluent,,,16286,,12,2007-10-22 00:00:00,,,,1979,
16329,N,3,16329-3,77507,ConocoPhillips Canada Resources Corp.,A5G3,25,0.01,Removed,Blind End,02-02-055-13W5,Blind End,02-02-055-13W5,,,0,Z662,88.9,A106,3.96,B,Steel,0,0,Welded,Uncoated,Unknown,,,,,,,,Oil-Well Effluent,,,16329,,3,1979-12-18 00:00:00,,2016-04-21 10:16:00,,1979,
16329,N,6,16329-6,77509,ConocoPhillips Canada Resources Corp.,A5G3,25,0.01,Removed,Blind End,02-02-055-13W5,Blind End,02-02-055-13W5,,,0,Z662,88.9,A106,3.96,B,Steel,0,0,Welded,Uncoated,Unknown,,,,,,,,Oil-Well Effluent,,,16329,,6,1979-12-18 00:00:00,,2016-04-21 10:16:00,,1979,
16515,N,4,16515-4,78518,Obsidian Energy Ltd.,0BP8,6,0.07,Removed,Blind End,10-04-048-10W5,Blind End,10-04-048-10W5,,,0,Z662,60.3,5L,3.91,B,Steel,0,0,Welded,Uncoated,Drayton Valley,,,,,,River Crossing,,Oil-Well Effluent,,,16515,,4,1979-11-28 00:00:00,,2014-10-15 12:49:00,,1962,
14946,N,2,14946-2,69911,NAL Resources Limited,0TM9,1,0.76,Removed,Blind End,11-26-034-04W5,Blind End,15-26-034-04W5,,,0,Z662,60.3,5L,3.91,B,Steel,0,0,Welded,Uncoated,Red Deer,,,,,,,,Oil-Well Effluent,,,14946,,2,2008-07-25 00:00:00,,2012-01-09 13:53:00,2010-02-24 00:00:00,1978,
10760,N,10,10760-10,49860,Enerplus Corporation,A5RD,1,0.01,Operating,Pipeline,11-20-035-17W4,Compressor Station,11-20-035-17W4,,,0,Z184,60.3,A53,3.91,B,Steel,6890,22,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,10760,,10,1979-06-15 00:00:00,,,,1979,
10846,N,28,10846-28,50511,Cardinal Energy Ltd.,A6A7,2,0.03,Abandoned,Blind End,07-14-048-09W4,Blind End,07-14-048-09W4,,,0,Z662,88.9,5LX,3.96,X42,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Oil-Well Effluent,,,10846,,28,1995-08-29 00:00:00,,,,,
14946,N,6,14946-6,312304,NAL Resources Limited,0TM9,1,0.04,Removed,Blind End,07-35-034-04W5,Blind End,07-35-034-04W5,,,0,Z662,60.3,5L,3.91,B,Steel,0,0,Welded,Uncoated,Red Deer,,,,,,,,Oil-Well Effluent,,,14946,,2,2008-07-25 00:00:00,,2012-01-09 13:53:00,2010-02-24 00:00:00,1978,
15131,N,2,15131-2,70457,Husky Oil Operations Limited,0R46,2,0.01,Operating,Pipeline,11-30-040-13W5,Pipeline,11-30-040-13W5,,,0,,60.3,Z245.3,3.91,2903,Steel,9930,26,Welded,Uncoated,Red Deer,,,,,,,,Fuel Gas,,,15131,,2,1980-02-11 00:00:00,,,,1980,
10168,N,13,10168-13,45056,Chinook Energy Inc.,A5LF,5,0.01,Discontinued,Pipeline,09-14-064-12W5,Pipeline,09-14-064-12W5,,,0,Z662,60.3,A106,3.91,B,Steel,0,0,Welded,Uncoated,Edmonton,,,,,,,,Oil-Well Effluent,,,10168,,13,,1997-12-17 00:00:00,1997-12-17 00:00:00,1997-12-17 00:00:00,1993,
10147,N,10,10147-10,330455,Razor Energy Corp.,A7DE,7,0.09,Removed,Blind End,10-02-065-11W5,Blind End,10-02-065-11W5,,,0,Z662,114.3,5LX,3.96,X46,Steel,0,0,Welded,Uncoated,Edmonton,,,,,,River Crossing,,Natural Gas,,,10147,,6,1996-08-14 00:00:00,,2015-02-24 15:24:00,2009-09-18 00:00:00,1974,
10783,N,4,10783-4,50039,Sequoia Resources Corp.,0Z5F,1,0.02,Operating,Well,11-06-058-15W4,Pipeline,11-06-058-15W4,,,0,,60.3,A53,3.91,B,Steel,4960,16,Welded,Uncoated,Bonnyville,,,,,,,,Natural Gas,,,10783,,4,1977-03-18 00:00:00,,,,1977,
10783,N,5,10783-5,50040,Sequoia Resources Corp.,0Z5F,1,0.02,Operating,Well,07-02-058-16W4,Pipeline,07-02-058-16W4,,,0,,60.3,A53,3.91,B,Steel,4960,16,Welded,Uncoated,Bonnyville,,,,,,,,Natural Gas,,,10783,,5,1977-03-18 00:00:00,,,,1977,
10783,N,6,10783-6,50041,Sequoia Resources Corp.,0Z5F,1,0.02,Operating,Well,11-26-057-16W4,Pipeline,11-26-057-16W4,,,0,,60.3,A53,3.91,B,Steel,4960,16,Welded,Uncoated,Bonnyville,,,,,,,,Natural Gas,,,10783,,6,1977-03-18 00:00:00,,,,1977,
10191,N,3,10191-3,45122,ATCO Gas And Pipelines Ltd.,0144,1,0.03,Operating,Pipeline,01-27-042-28W4,Regulator Station,01-27-042-28W4,,,0,Z662,42.2,Z245.3,3.56,1721,Steel,2410,8,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,10191,,3,1977-04-19 00:00:00,,,,1976,
10191,N,4,10191-4,45123,ATCO Gas And Pipelines Ltd.,0144,1,0.03,Operating,Pipeline,16-22-041-28W4,Regulator Station,16-22-041-28W4,,,0,Z662,42.2,Z245.3,3.56,1721,Steel,2410,8,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,10191,,4,1977-04-19 00:00:00,,,,1976,
10226,N,1,10226-1,45321,ATCO Gas And Pipelines Ltd.,0144,1,0.03,Operating,Pipeline,12-33-006-19W4,Regulator Station,12-33-006-19W4,,,0,,42.2,5L,3.56,A,Steel,3275,9,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,10226,,1,1978-07-07 00:00:00,,,,1974,
10047,N,7,10047-7,321482,TAQA North Ltd.,A2TG,2,0.38,Removed,Blind End,14-12-035-06W5,Blind End,11-12-035-06W5,,,0,Z662,60.3,5L,3.18,X42,Steel,0,0,Welded,Uncoated,Red Deer,,,,,,,,Oil-Well Effluent,,,10047,,5,,1998-04-23 00:00:00,2013-08-22 11:36:00,1998-04-23 00:00:00,1974,
10130,N,2,10130-2,44813,Canadian Natural Resources Limited,0HE9,1,0.02,Operating,Well,11-13-055-14W4,Well,11-13-055-14W4,,,0,Z662,60.3,A53,3.91,B,Steel,3930,13,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,10130,,2,1976-06-01 00:00:00,,,,1976,
10130,N,1,10130-1,44812,Canadian Natural Resources Limited,0HE9,2,0.02,Operating,Well,11-13-055-14W4,Well,11-13-055-14W4,,,0,Z662,60.3,A106,5.54,B,Steel,3930,9,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,10130,,1,1976-06-01 00:00:00,,,,1976,
10248,N,1,10248-1,45394,Canadian Natural Resources Limited,0HE9,1,0.02,Operating,Pipeline,11-24-060-18W4,Compressor Station,11-24-060-18W4,,,0,Z662,88.9,A106,5.49,B,Steel,9930,33,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,10248,,1,1977-04-19 00:00:00,,,,1976,
10220,N,1,10220-1,45224,Paramount Resources Ltd.,0AW4,3,0.02,Operating,Gas Processing Plant,05-12-065-19W4,Gas Processing Plant,05-12-065-19W4,,,0,Z184,88.9,A53,5.49,B,Steel,3450,12,Welded,Uncoated,Edmonton,,,,,,,,Natural Gas,,,10220,,1,1996-08-14 00:00:00,,,,1976,
10222,N,1,10222-1,45231,New North Resources Ltd.,0CZ4,2,0.02,Operating,Well,11-34-038-21W4,Well,11-34-038-21W4,,,0,Z662,88.9,A53,5.49,B,Steel,6895,23,Welded,Yes,Red Deer,,,,,,,,Natural Gas,,,10222,,1,1976-06-01 00:00:00,,,,1976,
10153,N,37,10153-37,44982,TAQA North Ltd.,A2TG,1,0.02,Operating,Well,09-17-021-12W4,Pipeline,09-17-021-12W4,,,0, ,60.3,Z245.1,3.2,2901,Steel,4960,16,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,10153,,37,1995-07-12 00:00:00,1994-07-12 00:00:00,1994-07-12 00:00:00,1995-07-12 00:00:00,1995,
10153,N,40,10153-40,44985,TAQA North Ltd.,A2TG,1,0.03,Operating,Well,08-07-021-12W4,Pipeline,08-07-021-12W4,,,0, ,60.3,Z245.1,3.2,2901,Steel,4960,16,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,10153,,40,1995-07-12 00:00:00,1994-07-12 00:00:00,1994-07-12 00:00:00,1995-07-12 00:00:00,1995,
10153,N,45,10153-45,44990,TAQA North Ltd.,A2TG,1,0.03,Operating,Well,11-04-021-12W4,Pipeline,11-04-021-12W4,,,0, ,60.3,Z245.1,3.2,2901,Steel,4960,16,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,10153,,45,1995-07-12 00:00:00,1994-07-12 00:00:00,1994-07-12 00:00:00,1995-07-12 00:00:00,1995,
10153,N,50,10153-50,44995,TAQA North Ltd.,A2TG,1,0.01,Operating,Well,08-10-021-12W4,Pipeline,08-10-021-12W4,,,0, ,60.3,Z245.1,3.2,2901,Steel,4960,16,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,10153,,50,1995-07-12 00:00:00,1994-07-12 00:00:00,1994-07-12 00:00:00,1995-07-12 00:00:00,1995,
10133,N,2,10133-2,44824,Repsol Oil & Gas Canada Inc.,0039,4,0.02,Abandoned,Blind End,05-27-043-01W4,Blind End,05-27-043-01W4,,,0,Z662,60.3,A106,3.91,A,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Fuel Gas,,,10133,,2,1977-06-29 00:00:00,,2004-09-03 00:00:00,2004-09-03 00:00:00,1977,
10133,N,10,10133-10,332787,Repsol Oil & Gas Canada Inc.,0039,1,0.17,Removed,Blind End,03-27-043-01W4,Blind End,03-27-043-01W4,,,0,Z662,33.4,A106,3.38,B,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Fuel Gas,,,10133,,1,1992-07-06 00:00:00,,2015-11-02 15:55:00,2004-09-03 00:00:00,1992,
10133,N,8,10133-8,323335,Repsol Oil & Gas Canada Inc.,0039,1,0.15,Removed,Blind End,09-11-043-01W4,Blind End,09-11-043-01W4,,,0,Z662,33.4,A106,3.38,B,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Fuel Gas,,,10133,,3,1992-07-06 00:00:00,,2013-12-09 14:59:00,,1992,
10133,N,9,10133-9,323336,Repsol Oil & Gas Canada Inc.,0039,2,0.15,Removed,Blind End,09-11-043-01W4,Blind End,09-11-043-01W4,,,0,Z662,48.2,6063,2.16,T1A,Aluminum,0,0,High-Energy Welded,Uncoated,Wainwright,,,,,,,,Fuel Gas,,,10133,,4,,1992-07-06 00:00:00,2013-12-09 14:59:00,2000-04-06 00:00:00,1992,
10328,N,5,10328-5,46234,Sydco Energy Inc.,A543,3,0.03,Operating,Pipeline,15-33-087-02W6,Compressor Station,15-33-087-02W6,,,0,Z662,88.9,5LX,5.49,X42,Steel,7930,22,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,10328,,5,1977-08-04 00:00:00,,,,1977,
10328,N,7,10328-7,46235,Sydco Energy Inc.,A543,3,0.02,Operating,Well,15-33-087-02W6,Compressor Station,15-33-087-02W6,,,0,Z662,88.9,5LX,5.49,X42,Steel,7930,22,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,10328,,7,1977-08-04 00:00:00,,,,1977,
10076,N,8,10076-8,44493,Accel Canada Holdings Limited,A7ND,8,1.26,Removed,Blind End,02-03-057-21W4,Blind End,06-03-057-21W4,,,40,Z662,88.9,Z245.3,3.2,2901,Steel,0,0,Welded,Uncoated,Edmonton,,,,,,,,Oil-Well Effluent,,,10076,,8,,1996-11-06 00:00:00,2015-01-15 11:39:00,1997-04-02 00:00:00,1979,
1,N,15,1-15,11,ATCO Gas And Pipelines Ltd.,0144,7,0.24,Removed,Blind End,09-20-083-21W5,Blind End,09-20-083-21W5,,,0,Z662,114.3,Z245.1,4.8,2901,Steel,0,0,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,1,,15,2009-12-09 00:00:00,1997-08-07 00:00:00,2013-05-14 11:06:00,1998-02-07 00:00:00,1998,
1,N,16,1-16,12,ATCO Gas And Pipelines Ltd.,0144,1,0.08,Removed,Blind End,09-20-083-21W5,Blind End,09-20-083-21W5,,,0,Z662,114.3,5L,4.78,A,Steel,0,0,Welded,Uncoated,Grande Prairie,,,,,,,,Natural Gas,,,1,,16,,1997-08-07 00:00:00,2011-11-22 09:56:00,2006-08-10 00:00:00,1997,
