refno,date_incident,date_notification,company,city,type,product,volume,status,summary
20141649,2014-07-14,2014-07-14,Baytex Energy Ltd.,Peace River (24 km E),Facility,emulsion,80-100 m3,No emergency phase.,Release of emulsion from a ruptured tank on a well site. Tank has been replaced and clean up underway. All contained on lease and no reported impacts to waterbodies or wildlife.
20140468,2014-03-02,2014-03-02,Baytex Energy Ltd.,Peace River (28 km E),Facility,Crude Oil,14 m3,No emergency phase.,Unknown cause of release at this time. All product remained on lease. Clean up is underway. There are no reported impacts to wildlife or waterbodies.
20162474,2016-08-30,2016-08-30,Canadian Natural Resources Limited,Debolt (10 km E),Well,Produced Water,3.9 m3,No emergency phase.,The failure occurred on a flange at on lease piping. A small amount went off lease. Toatal area of impact is 10m X 40m. Clean up is underway. No reported impacts to wildlife or waterbodies.
20141564,2014-06-30,2014-06-30,Suncor Energy Inc.,Ft. McMurray (43 km NE),Facility,Steam Condensate,0.1 m3 or less,No emergency phase.,A mechanical failure allowed condensate to drip below a pipeline. Fluid and soils have been removed and repairs are underway. No reported impacts to waterbodies or wildlife.
20152970,2015-11-04,2015-11-04,Devon Canada Corporation,La Corey (21 km W),Facility,Salt/Produced Water,10 m3,No emergency phase.,Release of produced water on lease due to a line failure at a facility. Line has been shut in and clean up is underway. No reported impacts to wildlife or a waterbody.
20131799,2013-09-13,2013-09-13,Penn West Petroleum Ltd.,Innisfail (20 km E),Tanker truck,Sour crude oil,20.0 m3,Over.,Caused by a traffic accident. Some oil was released before the oil caught on fire. Some of the released oil entered Three Hills Creek. It has been contained and is being cleaned up. No reported injuries. No reported impacts to wildlife.
20141560,2014-07-04,2014-07-04,Surge Energy Inc.,Wainwright (2 km N),Pipeline,Salt/Produced Water,100 m3,No emergency phase.,Unknown cause of pipeline failure. Area impacted 60m X 30m. Line is shut in and depressured. No reported impacts to waterbodies or wildlife. Clean up is underway and environmental specialists are engaged.
20132262,2013-11-13,2013-11-13,Apache Canada Ltd.,Veteran (16 km NE),Well,Crude Oil and Salt/Produced Water,20 m3 and 10 m3 respectively,No emergency phase.,"Release ran down lease road and off lease. Some farm land in the area, however no reported impacts to waterbodies or wildlife."
20170812,2017-03-09,2017-03-09,Twin Butte Energy Ltd.,Chauvin (20 km S),Pipeline,Crude Oil and Salt/Produced Water,0.5 m3 and 0.5 m3 respectively,No emergency phase,Company reported a failure on an oil emulsion pipeline. Approximately 1&nbsp;m3 was released. The release is contained and cleanup is underway. There were no reported impacts to wildlife or waterways.
20132260,2013-11-12,2013-11-12,Penn West Petroleum Ltd.,Swan Hills (10 km NW),Pipeline,Crude Oil and Gas Production (Raw),2 m3 and 0.1 or less &times;&nbsp;103&nbsp;m3 respectively,No emergency phase.,Pipeline release detected through aerial surveillance. Product reported to have H2S component. The line has been shut in and area is currently being assessed to determine extent of contamination. No impacts to wildlfie or waterbodies reported.
20140165,2014-01-21,2014-01-21,Apache Canada,Whitecourt (40 km NW),Pipeline,Produced Water,1600 m3,"Over - Emergency phase ended Jan 27, 2014",Produced water spill resulting from a break in a Apache Canada pipeline. The fluid in the pipeline can contain up to 100 ppm H2S but no recorded H2S readings were picked up on-site. The chlorides through the spill path ranged from 9000ppm to less than 200ppm. The release has impacted a low-lying seasonal depression and an ephemeral draw for approximately 2 km from the break site. Pipeline has been isolated and shut-in and full containment has been achieved. Clean-up continues. AER and ESRD staff continue to monitor clean-up and remediation of the site. No reported impacts to wildlife at this time.
20151165,2015-04-22,2015-04-22,Sinopec Daylight Energy Ltd.,Grande Prairie (33 km SW),Facility,Crude Oil and Process Water,0.1 or less m3 and 1 m3 respectively,No emergency phase.,"Company reported a sour oil emulsion release from on lease piping. H2S alarm on the scada (remote monitring system) detected the release and caused the emergency shut down to activate and shut in the facility, and the pipes were purged and the gas sent to flare. The subject pipe has been isolated and locked out. Release was on an above ground insulated piping, and remained on lease. ERP was not not activated. Estimate less than 1&nbsp;&times;&nbsp;103&nbsp;m3 of gas, and less than 0.1&nbsp;m3 of emulsion released. Emulsion has been contained and cleaned up by vac trucks on scene. Closest residence is 600m to the south. Operators are onsite with monitors, no H2S readings detected on personal monitors. Strong wind/snow/rain from the west. Operators had travelled the immediate area to ensure that no odours were going off lease. No reported impacts to waterbodies or wildlife."
20180764,2018-02-21,2018-02-28,Husky Oil Operations Limited,Rainbow Lake (11 km SE),Facility,H2S,0.15 &times;&nbsp;103&nbsp;m3,No emergency phase,Release occurred due to an issue with a valve. Source was isolated and shut in. No reported impacts to wildlife or waterbodies.
20132268,2013-11-13,2013-11-13,Husky Oil Operations Limited,Wainwright (0.4 km N),Pipeline,Condensate,100 m3,No emergency phase.,Cause unknown. No reported impacts to wildlife or water bodies.
20152794,2015-10-16,2015-10-16,AltaGas Utilities Inc.,Medicine Hat (23 km SW),Pipeline,Gas Prod&rsquo;n (Mrktble),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Plans are being developed to repair the line to avoid supply interuptions to some residents. There has been no reports of impacts to waterbodies or wildlife.
20180089,2018-01-05,2018-01-06,Canadian Natural Resources Limited,Brooks (60 km W),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of sweet gas due to an issue with a pipeline. Line was isolated. No reported impacts to wildlife or waterbodies.
20131945,2013-10-02,2013-10-02,Direct Energy Marketing Limited,Medicine Hat (0 km Within City Limits),Pipeline,Natural Gas,0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of sweet gas from pipeline discovered while conducting survey. Line has been isolated and depressurized. No impacts to public or environment.
20171217,2017-04-15,2017-04-15,ARC Resources Ltd.,Redwater (2 km N),Pipeline,Emulsion,40 m3,No emergency phase,Release of sour emulsion due to an issue on a pipeline. Line has been shut in and clean up is underway. No reported impacts to wildlife or a waterbody.
20162977,2016-10-11,2016-10-11,Cardinal Energy Ltd.,Slave Lake (24 km SE),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 0.4 m3 respectively,No emergency phase,"Company reported a pipeline release of oil emulsion. It was released onto the pipeline right of way, and a small amount migrated off the right of way.The spill has been contained and the line has been isolated. There were no impacts to wildlife or waterbodies reported."
20132546,2013-12-20,2013-12-20,Encana Corporation,Amisk (20 km N),Well,Process Water,1 m3,No emergency phase.,"Release of product due to equipment failure at facility. The majority of the fluids stayed on lease, however a small amount ran off lease down the MD road allowance. Release was reported have an H2S concentration associated to it. No environmental impacts"
20140560,2014-03-10,2014-03-10,Mosaic Energy Ltd.,Redwater (20 km N),Pipeline,Produced Water,0.1 m3,No emergency phase.,Release was discovered when Operator noticed staining on the snow. Line was shut-in and clean-up underway. Release location was in a farmers field. No reported impacts to wildlife or waterbodies.
20140561,2014-03-10,2014-03-10,Cenovus Energy Inc.,Brooks (20 km S),Pipeline,Salt/Produced Water,21.5 m3,No emergency phase.,Cause of release unknown at this time. Pipeline was depressurized and clean-up is underway. Several vacuum trucks have been utilized to clean up the free fluid. Enviromental teams have been deployed to the release site.There are no reported impacts to wildlife or waterbodies.
20150083,2015-01-08,2015-01-10,Madalena Energy Inc.,Sangudo (15 km SW),Well,Crude Oil and Salt/Produced Water,0.1 or less m3 and 3.8 m3 respectively,No emergency phase.,A release occurred during routine maintanance testing. Although the well is a sour well there were no reported H2S detected during the release. Cleanup is underway. No reported impacts to wildlife or waterbodies.
20150081,2015-01-09,2015-01-09,Canadian Natural Resources Limited,Calling Lake (46 km NW),Pipeline,Salt/Produced Water,0.5 m3 respectively,No emergency phase.,The company reported the release of Salt/Produced Water from a pipeline. The pipeline has been shut in and isolated and the released fluid is contained to the pipeline right-of-way. The clean-up is underway and free fluid and impacted soil will be recovered. No reported impacts to a waterbodies or wildlife.
20180247,2018-01-17,2018-01-17,Husky Oil Operations Limited,Drumheller (17 km SW),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of sweet natural gas from a pipeline. The pipeline has been isolated and depressurized. There are no reported impacts to waterbodies or wildlife.
20150126,2015-01-13,2015-01-13,Birchcliff Energy Ltd.,Worsley (26 km NW),Well,Crude Oil / Emulsion,15 m3,No emergency phase.,Mechanical failure caused the release of the slightly sour product. All product remained on lease. Cleanup underway. No reported impacts to wildlife or waterbodies.
20141998,2014-08-15,2014-08-15,Harvest Operations Corp.,Provost (19 km NE),Facility,Crude Oil and Salt/Produced Water,5 m3 and 1 m3 respectively,No emergency phase.,Release of slightly sour emulsion from a tank farm into secondary containment due to a valve failure. No offsite odors reported. No reported impacts to any water body or wildlife.
20181686,2018-05-24,2018-05-24,Summerland Energy Inc.,Slave Lake (93 km NW),Pipeline,Salt/Produced Water,50 m3,No emergency phase,Release occurred due to an issue with a well. Clean up is underway. No impacts to wildlife reported.
20161779,2016-07-04,2016-07-05,C Group Energy Inc.,Niton (2 km NE),Well,Crude Oil,2 m3,Emergency phase over.,Release of crude oil at a well. A small amount of the crude oil when off lease. Clean up is underway. No reported impacts to a wildlife or a waterbody.
20162201,2016-08-06,2016-08-06,Canadian Natural Resources Limited,Cessford (17 km N),Pipeline,Crude Oil and Salt/Produced Water,1 m3 and 9 m3 respectively,No emergency phase.,Company reported a release on a pipeline. The release has been stopped and the line has been depressurized. No waterways or wildlife were impacted.
20161893,2016-07-11,2016-07-11,Baytex Energy Ltd.,Hana (25 km NE),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,A pipeline failure was identified with minimal fluids released. Cleanup and repairs are underway. No reported impacts to wildlife or waterbodies reported.
20161892,2016-07-07,2016-07-08,Enbridge Pipelines (Athabasca) Inc.,Ft. McMurray (40 km NW),Pipeline,Crude Bitumen,0.1 or less m3,No emergency phase.,4l of product was released from a failed valve. Cleanup and repairs are occuring. No impacts to wildlife or waterways reported.
20161772,2016-06-30,2016-06-30,Baytex Energy Ltd.,St Isidore (15 km E),Facility,Crude Bitumen and Salt/Produced Water,1.6 m3 and 31.3 m3 respectively,No emergency phase.,Release of crude bitumen and salt/produced water at a facility. No released fluid when off lease. Clean up is underway. No reported impacts to wildlife or a waterbody.
20140602,2014-03-14,2014-03-14,Penn West Petroleum Ltd.,Drayton Valley (30 km SW),Well,Freshwater/Alchol Additive,50 m3,"Over. Emergency phase ended March 14, 2014.",Release occurred at point of entry into a water injection well. Cause unknown at this time. Release entered an ephemeral draw which led down to 2 small beaver ponds. Contaminats in the freshwater was alchol based and may have dissipated and diluted very quickly. Samples are being taken and clean-up strategies are being developed by on-site Environmental Company in conjunction with Licensee. No reported impacts to wildlife as the beaver dams had been dry prior to the recent runoff and spill release.
20140605,2014-03-15,2014-03-15,Husky Oil Operations Limited,Wainwright (30 km SW),Pipeline,Salt/Produced Water,10 m3,No emergency phase.,Cause of release has been attributed to a failure in an injection header. Line has been shut-n and clean-up with vacuum truck is underway. Approx. 1 m3 left the lease site. No reported impacts to wildife or waterbodies.
20172405,2017-07-27,2017-07-27,Canadian Natural Resources Limited,"Swan Hills, (5 km N)",Well,Crude Oil and Gas Production (Raw) and Salt/Produced Water,1.1 m3 and 0.9 &times;&nbsp;103&nbsp;m3 and 0.1 or less m3 respectively,No Emergency Phase,Release of crude oil and salt/produced water due to an issue on a well. The well has been shut in and cleanup is underway. No reported impacts to wildlife.
20173139,2017-10-05,2017-10-05,Canadian Natural Resources Limited,Fort McMurray (80 km SW),Pipeline,Gas Production (Raw) and Salt/Produced Water,0.5 &times;&nbsp;103&nbsp;m3 and 1.5 m3 respectively,No emergency phase,A release was identified due to an issue with a pipeline. The line has been shut in and depressurized and clean up is underway. No impacts to wildlife or waterbodies were reported.
20131248,2013-06-25,2013-06-25,Canadian Natural Resources Limited,Brooks (3 km SE),Pipeline,Sweet gas,0.1 &times;&nbsp;103&nbsp;m3,No emergency phase.,Cause unknown at this time.
20172039,2017-06-23,2017-06-23,Cenovus Energy Inc.,Suffield (39 km N),Pipeline,Crude Oil and Salt/Produced Water,20 m3 and 380 m3 respectively,Emergency phase over.,Release of emulsion from piping at a well that impacted a dry slough area. The company activated its Emergency Response Plan to a level 1 emergency. An AER Inspector was on site coordinating the response with the company. The release was stopped and cleanup is underway. The emergency phase of the incident was called down at approximately 2pm on 23/06/2017. There are no reported impacts to wildlife.
20131245,2013-06-27,2013-06-27,Barrick Energy Inc.,Valleyview (12 km SE),Pipeline,Oil effluent,50.0 m3,No emergency phase.,Equipment failure (not confirmed). No odours detected off lease.
20131247,2013-06-20,2013-06-20,Shell Canada Limited,Cochrane (8 km SW),Pipeline,Fuel gas line,0.4 &times;&nbsp;103&nbsp;m3,Over.,Flow line damaged due to flooding in the area. Residents notified but no evacuations
20131537,2013-08-13,2013-08-13,CNRL,La Glace (12 km NE),Pipeline,Sour gas and condensate,"2.0 &times;&nbsp;103&nbsp;m3 and 0.5 m3, respectively",Over.,Cause unknown. No impacts to wildlife reported. Some condensate released onto the pipeline right-of-way.
20131243,2013-06-24,2013-06-24,Canadian Natural Resources Limited (CNRL),Cold Lake (45 km NW),Facility,Bitumen,1177.14 m3,"Ongoing. Emergency phase over July 17, 2013","AER Incident Alerts for June 11, 2014 Reference Number: 20131243 Date of incident: June 24, 2013 Date of notification: June 24, 2013, 20:18 Company: Canadian Natural Resources Limited (CNRL) Location: 09-21-067-04W4 (9-21), 10-01-067-03W4 (10-1), 10-02-067-03W4 (10-2) and 2-22-067-3W4 (2-22). Incident site locations are approximately 45 km NW of Cold Lake.  Type of facility: Facility Product reported: Bitumen Volume reported: 1058&nbsp;m3 Bitumen Emulsion total recovered from all 4 sites. An area of 20.7 hectares total is reported to have been impacted by all four sites. Status: Ongoing. Emergency phase over July 17, 2013. September18, 2014: An Environmental Protection Order (EPO) was issued by Alberta Environment and Sustainable Resource Development (AESRD) to CNRL on September 24, 2013. The following link includes details relating to the EPO; http://alberta.ca/release.cfm?xID=3503628AD742B-92C5-E54E-31B3D003B72A0792. In addition to the EPO, an Enforcement Order (EO) was issued by AESRD to CNRL on October 21, 2013. The following link includes details relating to the EO; http://alberta.ca/release.cfm?xID=35203A39DF085-0B3E-A27B-FDE1ED37CF2D3535.  At the 9-21 site, CNRL is working towards completing the Fissure Containment Structure. The Water Body restoration is complete, CNRL continues water body monitoring as dictated by the EPO.  At the 2-22, 10-01, and 10-02 sites, CNRL continues to monitor these sites and progress with the subsurface source/flow pathways and groundwater investigations.  No new impacts to wildlife have been identified. Wildlife fencing and deterrents are installed. All sites continue to be monitored for wildlife sightings and impacted wildlife. For more information and pictures relating to the releases, please see the following link from CNRL’s website (http://www.cnrl.com/corporate-responsibility/public-statement&mdash;primrose-update.html). Please note on a go forward that the information on the Incident Reporting page will be updated as required. AER continues to monitor the site, and if necessary, will reinstate more frequent reporting. For further information, please contact CNRL directly. Alternatively, please contact the AER’s Office of Public Affairs. March 6, 2014: An Environmental Protection Order (EPO) was issued by Alberta Environment and Sustainable Resource Development (AESRD) to CNRL on September 24, 2013 for the temporary removal of water from a portion of the waterbody at the 09-21 location. The following link includes details and an AESRD contact for any inquiries relating to the EPO; http://alberta.ca/release.cfm?xID=3503628AD742B-92C5-E54E-31B3D003B72A0792. In addition to the EPO, an Enforcement Order (EO) was issued by AESRD to CNRL on October 21, 2013. The following link includes details and an AESRD contact for any inquiries relating to the EO; http://alberta.ca/release.cfm?xID=35203A39DF085-0B3E-A27B-FDE1ED37CF2D3535.  At the 9-21 site, excavation of surficial impacts along the perimeter shore line is near complete. The removal of the impacted material around the fissures is complete. Construction of the fissure containment structure is underway. CNRL continues with the subsurface source/flow pathways and groundwater investigations at this release site.  Fissure containment and recovery construction is complete at the 2-22, 10-01, and 10-02 sites. Pad construction operations are complete and drilling operations are underway at all three release sites as part of the ongoing subsurface source/flow pathways and groundwater investigations. No new impacts to wildlife have been identified. Wildlife fencing and deterrents are installed at all four sites. Sites continue to be monitored for wildlife sightings and impacted wildlife. For more information and pictures relating to the releases, please see the following link from CNRL’s website http://www.cnrl.com/corporate-responsibility/primrose-flow-to-surface-incident-response/ Please note on a go forward that due to the freeze up during winter months, there will be reduced activity at these sites. As a result, the information on the Incident Reporting page will be updated monthly. Both the AER and AESRD continue to monitor the site, and if necessary, will reinstate more frequent reporting. For further information, please contact CNRL directly. Alternatively, please contact the AER’s Office of Public Affairs. February 8, 2014: An Environmental Protection Order (EPO) was issued by Alberta Environment and Sustainable Resource Development (AESRD) to CNRL on September 24, 2013 for the temporary removal of water from a portion of the waterbody at the 09-21 location. The following link includes details and an AESRD contact for any inquiries relating to the EPO; http://alberta.ca/release.cfm?xID=3503628AD742B-92C5-E54E-31B3D003B72A0792. In addition to the EPO, an Enforcement Order (EO) was issued by AESRD to CNRL on October 21, 2013. The following link includes details and an AESRD contact for any inquiries relating to the EO; http://alberta.ca/release.cfm?xID=35203A39DF085-0B3E-A27B-FDE1ED37CF2D3535.  Excavation continues at the 9-21 site to remove impacted material around fissures and surficial impacts along the perimeter shore line. CNRL continues with the subsurface investigation at this release site. Fissure containment and recovery construction is complete at the 2-22, 10-01, and 10-02 sites. Pad construction operations are in progress or complete at the three release sites and other approved surface locations in preparation for planned drilling operations as a part of the on going sub-surface investigation.  No volume changes this report. No new impacts to wildlife have been identified. Wildlife fencing and deterrents are installed at all four sites. Sites continue to be monitored for wildlife sightings and impacted wildlife. January 8, 2014 Volume reported: Bitumen emulsion totals to date have been reviewed and revised to 1177.14 m3 recovered between all four sites. 557 m3 of oily vegetation has been recovered from the 09-21-067-4W4 (09-21) site. 69 698.73 metric tonnes of impacted solids have been recovered between all four sites. 20.7 hectares total is reported to have been impacted by all four sites. As a result of the Environmental Protection Order (EPO) issued by Alberta Environment and Sustainable Resource Development (AESRD) to CNRL on September 24, 2013, temporary removal of water from a portion of the waterbody is complete at the 09-21 location. The following link includes details and an AESRD contact for any inquiries relating to the EPO; http://alberta.ca/release.cfm?xID=3503628AD742B-92C5-E54E-31B3D003B72A0792. In addition to the EPO, an Enforcement Order (EO) was issued by AESRD to CNRL on October 21, 2013. The following link includes details and an AESRD contact for any inquiries relating to the EO; http://alberta.ca/release.cfm?xID=35203A39DF085-0B3E-A27B-FDE1ED37CF2D3535. Excavation to expose the fissure and removal of impacted solids continues at the 9-21 site. Minimal bitumen and water volumes continue to be collected at the source. CNRL continues with the surface clean up and subsurface investigation at this release site. Maintenance and monitoring of the exposed fissures and containment continue at 2-22, 10-01, and 10-02 sites. CNRL has commenced lease construction operations at the three release sites and other approved surface locations in preparation for planned drilling operations as a part of the on going sub-surface investigation.  No new impacts to wildlife have been identified. Wildlife fencing and deterrents are installed at all four sites. Sites continue to be monitored for wildlife sightings and impacted wildlife. For more information and pictures relating to the releases, please see the following link from CNRL’s website (http://www.cnrl.com/corporate-responsibility/public-statement&mdash;primrose-update.html). Please note on a go forward that due to the freeze up during winter months, there will be reduced activity at these sites. As a result, the information on the Incident Reporting page will be updated monthly. Both the AER and ESRD continue to monitor the site, and if necessary, will reinstate more frequent reporting. For further information, please contact CNRL directly. Alternatively, please contact the AER’s Office of Public Affairs."
20150240,2015-01-22,2015-01-22,"Barnwell of Canada, Limited",Zama City (26 km SE),Pipeline,Crude Oil and Salt/Produced Water,0.2 m3 and 0.8 m3 respectively,Emergency phase over.,"Release of emulsion from a pipeline found by aerial survey. Release is into muskeg on the pipeline right of way. Pipeline is shutin and crews or on site deliniating impacted area, and containing and removing free fluids. No reported impacts to wildlife. UPDATE: It was confirmed that the release did not enter muskeg, so no impact to any waterbody. The release has been contained on the Right Of Way on solid ground. Clean up efforts are still ongoing. Emergency phase over 02/08/2015."
20152715,2015-10-08,2015-10-08,Husky Oil Operations Limited,Barnwell (23 km SE),Pipeline,Salt/Produced Water,60 m3,No emergency phase.,Release of salt/produced water due to a pipeline failure. Line has been shut in and cleanup underway. No reported impacts to wildlife or a waterbody.
20150243,2015-01-22,2015-01-22,Canadian Natural Resources Limited,Spirit River (35 km W),Well,Crude Oil,1.8 m3,No emergency phase.,"Release of crude oil from pumpjack packing failure. Well has been shutin. Most of the released crude pooled on lease, with some misting impacting trees adjacent to the lease. Cleanup has been started, with free fluids being removed. Remediation of misted vegitation off lease is underway. No reported impacts to any waterbody or wildlife."
20150244,2015-01-23,2015-01-23,Wolf Coulee Resources Inc.,Vauxhall (16 km SW),Facility,Salt/Produced Water,15 m3,No emergency phase.,"Release of slightly sour produced water from a facility due to a broken nipple on the pump&rsquo;s filter canister. The spill migrated off lease to a low spot adjacent to the lease road. Land owner has been contacted. Facility shut in, and vac trucks have removed the free liquids. Cleanup is ongoing. No reported impacts to any water body or wildlife."
20180768,2018-03-02,2018-03-02,NuVista Energy Ltd.,Grande Prairie (49 km S),Well,Salt/Produced Water,5 m3,No emergency phase,Release occurred due to an issue with a valve. Clean up is underway. No reported impacts to wildlife or waterbodies.
20162557,2016-09-06,2016-09-06,Cenovus Energy,Wabasca (54 km NE),Well,Crude Oil and Salt Water,20 m3 and 80 m3 respectively,No emergency phase.,Release of emulsion due to an issue with piping at a well site. Release remained on lease and cleanup is underway. Line has been shut in. No reported impacts to wildlife.
20150247,2015-01-23,2015-01-23,Cenovus Energy Inc.,Jenner (22 km SE),Well,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,Emergency phase over.,Release of sweet natural gas from a pin hole leak developing below the well head assembly. The company has killed the well and set a plug. The well head will be removed and repairs of the leak will begin. No reported ordor complaints or impacts to the public.
20162490,2016-08-30,2016-08-30,Bruin Oil &amp; Gas Inc.,Consort (20 km W),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 0.1 or less m3 respectively,No emergency phase.,Clean up and repairs are under way. No impacts to wildlife or waterbodies.
20162558,2016-09-05,2016-09-05,TAQA North Ltd.,Rimbey (2 km W),Pipeline,Natural Gas,0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of natural gas due to an issue on a pipeline. Line has been shut in. No reported impacts to a waterbody or wildlife.
20152895,2015-10-27,2015-10-27,ARC Resources Ltd.,Swan Hills (15 km N),Pipeline,Crude Oil,0.5&nbsp;m3,No emergency phase.,"Company reported a leak of approximately 0.5 m3 of crude oil occured off lease, in the process of purging a pipeline to prepare for abandonment. The pipeline is isolated and the spill is contained. The spill entered a stagnant creek, which is not fish-bearing. Cleanup operations have been initiated. No wildlife impacts reported."
20152894,2015-10-27,2015-10-27,Canadian Natural Resources Limited,Swan Hills (12 km NW),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 0.9 m3 respectively,No emergency phase.,"Company reported a pipeline failure and release of approximately 1&nbsp;m3 of emulsion. The line is currently shut in, purged and depressurized. The release was on dry ground along the ROW and did not enter a water body. Company will clean up the release with a vac truck when they can gain access to the failure location.No reported impacts to waterbodies or wildlife."
